Molecule_Name,inchikey,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4
OCNT-0022235,WXFIGDLSSYIKKV-RCOVLWMOSA-N,3,3,0,1,2
OCNT-0022237,YBHILYKTIRIUTE-UHFFFAOYSA-N,3,4,1,2,2
OCNT-0022246,ZEWQUBUPAILYHI-UHFFFAOYSA-N,0,0,1,3,1
OCNT-0022254,XSCGXQMFQXDFCW-UHFFFAOYSA-N,1,1,1,4,2
OCNT-0022266,PWWVAXIEGOYWEE-UHFFFAOYSA-N,0,0,1,3,4
OCNT-0022267,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,1,0,0,1,0
OCNT-0022268,WIKYUJGCLQQFNW-UHFFFAOYSA-N,0,0,2,2,3
OCNT-0022269,BTFMCMVEUCGQDX-UHFFFAOYSA-N,4,4,1,3,0
OCNT-0022271,YVUQSNJEYSNKRX-UHFFFAOYSA-N,2,0,2,1,1
OCNT-0022281,DKMFBWQBDIGMHM-UHFFFAOYSA-N,3,0,3,4,3
OCNT-0022288,PLDUPXSUYLZYBN-UHFFFAOYSA-N,3,1,4,2,3
OCNT-0022291,RMEDXOLNCUSCGS-UHFFFAOYSA-N,3,1,1,4,0
OCNT-0022294,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,3,0,3,0,2
OCNT-0022297,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,3,3,4,2,1
OCNT-0022301,FEBOTPHFXYHVPL-UHFFFAOYSA-N,2,2,2,4,3
OCNT-0022303,QWGDMFLQWFTERH-UHFFFAOYSA-N,2,0,0,0,2
OCNT-0022314,FPCCSQOGAWCVBH-UHFFFAOYSA-N,0,0,4,2,4
OCNT-0022315,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,1,4,0,1,2
OCNT-0022316,VCKUSRYTPJJLNI-UHFFFAOYSA-N,0,2,4,1,3
OCNT-0022317,PNCPYILNMDWPEY-QGZVFWFLSA-N,3,1,0,2,3
OCNT-0200796,FBOZXECLQNJBKD-ZDUSSCGKSA-N,0,0,0,2,3
OCNT-0200803,OBKXEAXTFZPCHS-UHFFFAOYSA-N,1,2,1,2,0
OCNT-0283087,NNTMZAGJQBDZRO-UHFFFAOYSA-N,2,1,1,2,2
OCNT-0294781,WRLYSWVJPNRQTN-UHFFFAOYSA-N,4,0,1,3,4
OCNT-0319465,CDQSUAXVLAUUPS-UHFFFAOYSA-N,0,3,4,1,4
OCNT-0381046,JWHAUXFOSRPERK-UHFFFAOYSA-N,1,1,1,4,0
OCNT-0436875,REFJWTPEDVJJIY-UHFFFAOYSA-N,3,0,3,0,4
OCNT-0476452,JYGXADMDTFJGBT-VWUMJDOOSA-N,3,2,4,4,2
OCNT-0476550,GPKJTRJOBQGKQK-UHFFFAOYSA-N,4,3,0,3,4
OCNT-0476578,RBTBFTRPCNLSDE-UHFFFAOYSA-N,1,2,2,1,3
OCNT-0476778,WJCNZQLZVWNLKY-UHFFFAOYSA-N,2,3,0,0,2
OCNT-0477348,GDLIGKIOYRNHDA-UHFFFAOYSA-N,1,1,3,4,3
OCNT-0477587,OFAIGZWCDGNZGT-UHFFFAOYSA-N,2,1,2,0,4
OCNT-0478484,HCYAFALTSJYZDH-UHFFFAOYSA-N,3,3,3,2,0
OCNT-0478539,DRLFMBDRBRZALE-UHFFFAOYSA-N,0,2,3,4,1
OCNT-0478585,YLJREFDVOIBQDA-UHFFFAOYSA-N,3,1,1,3,3
OCNT-0481618,DKNWSYNQZKUICI-UHFFFAOYSA-N,1,3,1,1,4
OCNT-0483290,DERZBLKQOCDDDZ-JLHYYAGUSA-N,4,3,1,2,0
OCNT-0483502,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,0,2,3,1,4
OCNT-0483505,QXKHYNVANLEOEG-UHFFFAOYSA-N,4,3,4,2,0
OCNT-0492202,RLMUFLVAROGUMJ-UHFFFAOYSA-N,1,3,0,3,0
OCNT-0492977,PIXMJBOEBUQEEW-UHFFFAOYSA-N,0,2,3,3,4
OCNT-0493312,JCCNYMKQOSZNPW-UHFFFAOYSA-N,0,2,4,3,2
OCNT-0493346,LPEPZBJOKDYZAD-UHFFFAOYSA-N,0,2,1,3,4
OCNT-0493664,BRZANEXCSZCZCI-UHFFFAOYSA-N,3,4,4,4,3
OCNT-0493764,HXLAFSUPPDYFEO-UHFFFAOYSA-N,2,3,0,2,1
OCNT-0493767,LAQWXSZWFLYJOE-UHFFFAOYSA-N,1,2,3,2,3
OCNT-0493792,FJHBVJOVLFPMQE-QFIPXVFZSA-N,3,2,1,1,2
OCNT-0493842,FTALBRSUTCGOEG-UHFFFAOYSA-N,1,4,1,2,0
OCNT-0493904,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,1,0,3,1,1
OCNT-0493927,XPOQHMRABVBWPR-ZDUSSCGKSA-N,4,3,2,0,1
OCNT-0493940,MRBDMNSDAVCSSF-UHFFFAOYSA-N,2,3,0,3,0
OCNT-0493951,KKZJGLLVHKMTCM-UHFFFAOYSA-N,0,2,1,1,4
OCNT-0493990,MLDQJTXFUGDVEO-UHFFFAOYSA-N,0,0,4,1,2
OCNT-0494012,VHOGYURTWQBHIL-UHFFFAOYSA-N,3,2,3,2,0
OCNT-0494023,XGALLCVXEZPNRQ-UHFFFAOYSA-N,1,3,0,0,0
OCNT-0494025,KTUFNOKKBVMGRW-UHFFFAOYSA-N,3,1,2,2,3
OCNT-0494084,OPXLLQIJSORQAM-UHFFFAOYSA-N,1,3,0,4,2
OCNT-0494105,XILVEPYQJIOVNB-UHFFFAOYSA-N,2,2,3,4,3
OCNT-0494110,RGLYKWWBQGJZGM-ISLYRVAYSA-N,2,2,0,2,3
OCNT-0494139,RZEKVGVHFLEQIL-UHFFFAOYSA-N,2,2,3,1,0
OCNT-0494160,JWJOTENAMICLJG-QWBYCMEYSA-N,1,0,0,2,2
OCNT-0494161,LOUPRKONTZGTKE-WZBLMQSHSA-N,3,4,2,3,2
OCNT-0494162,BFPYWIDHMRZLRN-SLHNCBLASA-N,0,4,4,1,0
OCNT-0494164,YEEZWCHGZNKEEK-UHFFFAOYSA-N,2,3,3,4,1
OCNT-0494166,WWYNJERNGUHSAO-XUDSTZEESA-N,1,0,3,4,2
OCNT-0494195,YQNQNVDNTFHQSW-UHFFFAOYSA-N,0,0,0,0,2
OCNT-0494205,OOLLAFOLCSJHRE-ZHAKMVSLSA-N,4,0,4,4,2
OCNT-0494638,RUDATBOHQWOJDD-BSWAIDMHSA-N,0,1,2,1,4
OCNT-0494698,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,0,0,4,1,0
OCNT-0494717,GOTYRUGSSMKFNF-UHFFFAOYSA-N,3,0,2,2,3
OCNT-0494811,YHXISWVBGDMDLQ-UHFFFAOYSA-N,4,2,3,2,0
OCNT-0495039,QIVBCDIJIAJPQS-VIFPVBQESA-N,0,2,0,3,0
OCNT-0495153,OCJYIGYOJCODJL-UHFFFAOYSA-N,0,3,2,0,1
OCNT-0495157,JZFPYUNJRRFVQU-UHFFFAOYSA-N,3,2,0,2,3
OCNT-0495189,ZKLPARSLTMPFCP-UHFFFAOYSA-N,1,2,0,3,4
OCNT-0495216,XIQVNETUBQGFHX-UHFFFAOYSA-N,1,0,2,0,2
OCNT-0495275,VKHAHZOOUSRJNA-GCNJZUOMSA-N,2,2,2,4,0
OCNT-0495277,FELGMEQIXOGIFQ-UHFFFAOYSA-N,3,1,2,3,3
OCNT-0495303,WHTVZRBIWZFKQO-UHFFFAOYSA-N,0,0,1,3,4
OCNT-0495340,NCDNCNXCDXHOMX-XGKFQTDJSA-N,3,0,3,1,3
OCNT-0495493,KJFMBFZCATUALV-UHFFFAOYSA-N,1,0,0,0,1
OCNT-0495620,KXGVEGMKQFWNSR-LLQZFEROSA-N,0,2,2,2,3
OCNT-0495682,WDFKMLRRRCGAKS-UHFFFAOYSA-N,3,4,2,3,4
OCNT-0496415,QJJXYPPXXYFBGM-CLAWHKJSSA-N,1,2,2,4,3
OCNT-0496475,PHWBOXQYWZNQIN-UHFFFAOYSA-N,1,1,0,3,2
OCNT-0496647,FQQIIPAOSKSOJM-UHFFFAOYSA-N,1,2,2,3,3
OCNT-0497719,PWHROYKAGRUWDQ-UHFFFAOYSA-N,4,2,3,2,4
OCNT-0497724,VFLDPWHFBUODDF-UHFFFAOYSA-N,2,4,0,0,4
OCNT-0497798,YMTINGFKWWXKFG-UHFFFAOYSA-N,4,3,2,4,3
OCNT-0497847,VYMDGNCVAMGZFE-UHFFFAOYSA-N,4,1,2,3,3
OCNT-0497901,LLJFMFZYVVLQKT-UHFFFAOYSA-N,2,2,3,0,4
OCNT-0497926,OZWKMVRBQXNZKK-UHFFFAOYSA-N,4,0,2,2,1
OCNT-0497934,YJGVMLPVUAXIQN-XVVDYKMHSA-N,0,1,3,1,0
OCNT-0497946,IZJRISIINLJVBU-UHFFFAOYSA-N,1,3,1,2,1
OCNT-0497954,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,0,3,0,2,2
OCNT-0497979,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,2,0,0,2,3
OCNT-0497983,BCEHBSKCWLPMDN-MGPLVRAMSA-N,1,4,2,1,1
OCNT-0497986,DMDGGSIALPNSEE-UHFFFAOYSA-N,4,2,1,2,4
OCNT-0497989,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,4,3,4,0,0
OCNT-0497994,RZTAMFZIAATZDJ-UHFFFAOYSA-N,4,1,3,1,0
OCNT-0498014,HYIMSNHJOBLJNT-UHFFFAOYSA-N,2,4,0,2,1
OCNT-0498030,ASFKKFRSMGBFRO-UHFFFAOYSA-N,4,4,0,2,1
OCNT-0498036,FAKRSMQSSFJEIM-RQJHMYQMSA-N,4,1,2,3,2
OCNT-0498042,OFVLGDICTFRJMM-WESIUVDSSA-N,1,0,2,4,4
OCNT-0498064,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,0,1,4,4,3
OCNT-0498067,OLNTVTPDXPETLC-XPWALMASSA-N,4,4,2,3,3
OCNT-0498090,VKQFCGNPDRICFG-UHFFFAOYSA-N,0,2,4,1,1
OCNT-0498121,JNMRHUJNCSQMMB-UHFFFAOYSA-N,0,0,2,3,3
OCNT-0498125,GZOSMCIZMLWJML-VJLLXTKPSA-N,3,1,3,1,1
OCNT-0498126,TZFWDZFKRBELIQ-UHFFFAOYSA-N,4,1,1,1,1
OCNT-0498127,UREBDLICKHMUKA-DVTGEIKXSA-N,1,2,4,2,4
OCNT-0498160,MBGGBVCUIVRRBF-UHFFFAOYSA-N,0,2,0,1,3
OCNT-0498430,VSLIUWLPFRVCDL-UHFFFAOYSA-N,2,4,1,1,4
OCNT-0713834,PURKAOJPTOLRMP-UHFFFAOYSA-N,2,0,1,0,4
OCNT-0713835,MVRHVFSOIWFBTE-INIZCTEOSA-N,3,4,2,1,3
OCNT-1083122,IWDCLRJOBJJRNH-UHFFFAOYSA-N,4,4,2,0,3
OCNT-1411118,PBJUNZJWGZTSKL-MRXNPFEDSA-N,0,0,3,0,3
OCNT-1685194,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,3,3,3,1,4
OCNT-1755345,VZZJRYRQSPEMTK-CALCHBBNSA-N,4,0,1,2,1
OCNT-1755349,MKXKFYHWDHIYRV-UHFFFAOYSA-N,3,4,0,4,0
OCNT-1871132,QRZAKQDHEVVFRX-UHFFFAOYSA-N,3,2,3,4,2
OCNT-1893991,JXZZEXZZKAWDSP-UHFFFAOYSA-N,0,1,0,4,4
OCNT-1893994,ZKMNUMMKYBVTFN-HNNXBMFYSA-N,0,0,0,4,1
OCNT-1893998,RGOVYLWUIBMPGK-UHFFFAOYSA-N,0,3,1,0,1
OCNT-1911794,LOUPRKONTZGTKE-LHHVKLHASA-N,0,3,0,2,1
OCNT-1911799,XFYDIVBRZNQMJC-UHFFFAOYSA-N,3,3,4,0,1
OCNT-1911800,AHOUBRCZNHFOSL-YOEHRIQHSA-N,4,4,4,2,1
OCNT-1965886,HXYVTAGFYLMHSO-UHFFFAOYSA-N,2,4,1,4,1
OCNT-1965934,LEBVLXFERQHONN-UHFFFAOYSA-N,1,3,3,0,1
OCNT-1965960,INWLQCZOYSRPNW-UHFFFAOYSA-N,0,1,4,4,0
OCNT-2077048,CJOFXWAVKWHTFT-XSFVSMFZSA-N,3,2,2,3,2
OCNT-2127780,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,3,0,2,1,4
OCNT-2308460,ADCLRPXGARJRNH-UHFFFAOYSA-N,4,1,1,4,4
OCNT-2308462,WJFRXTNVJXUMKZ-UHFFFAOYSA-N,4,1,1,4,3
OCNT-2308464,FOBFOEZLLATUMX-UHFFFAOYSA-N,2,2,1,0,1
OCNT-2308465,YQQDONWJASNYLB-UHFFFAOYSA-N,2,1,0,0,4
OCNT-2308466,QIISNUQNQVBXSM-UHFFFAOYSA-N,3,2,1,3,1
OCNT-2308468,DVMAGBMCBPEMHG-UHFFFAOYSA-N,3,4,3,2,2
OCNT-2308470,RQGVCACJTCSQTN-UHFFFAOYSA-N,0,1,3,2,2
OCNT-2308473,MGZZNLHVDYPPJO-UHFFFAOYSA-N,3,3,2,4,1
OCNT-2308474,RMOQOPSUZCJLMR-UHFFFAOYSA-N,0,1,0,4,2
OCNT-2308475,HCCPDJMGEYCQRE-UHFFFAOYSA-N,3,0,0,1,4
OCNT-2308476,KAQRDYBEHRCINW-UHFFFAOYSA-N,1,4,2,3,1
OCNT-2308478,LEBMJYFBEYQLMP-PKHIMPSTSA-N,3,4,4,4,0
OCNT-2308479,BMCKPGYQWRVRGW-UHFFFAOYSA-N,2,2,1,3,3
OCNT-2308483,SNCVEOXAGGEZHI-UHFFFAOYSA-N,1,0,1,1,3
OCNT-2308492,ZUSVERMHGZARGI-UHFFFAOYSA-N,1,4,3,3,0
OCNT-2308494,HNTSVSUJRBPIDS-UHFFFAOYSA-N,0,2,1,4,3
OCNT-2308499,QXUKGGCCARXMOA-UHFFFAOYSA-N,2,3,0,4,4
OCNT-2308501,WCGOAKBBDHZUDP-UHFFFAOYSA-N,0,2,1,4,1
OCNT-2308502,NGONJMJRJGVYLJ-UHFFFAOYSA-N,1,4,4,3,3
OCNT-2308504,WNVJJXBDZXMAAQ-UHFFFAOYSA-N,0,3,2,1,3
OCNT-2308506,GMOUZYGFMNTHBO-RDTXWAMCSA-N,1,2,3,1,1
OCNT-2308508,VUWGJWBCZMKTRL-UHFFFAOYSA-N,3,2,1,3,1
OCNT-2308510,LMSNKMVPMRZZCB-UHFFFAOYSA-N,3,1,0,3,1
OCNT-2308511,DCACQNXHYGCETB-UHFFFAOYSA-N,1,4,0,4,0
OCNT-2308512,HJAMHWGDBJJRCC-UHFFFAOYSA-N,0,4,2,3,4
OCNT-2308515,VOYANXUMGNPLLS-UHFFFAOYSA-N,3,1,2,4,3
OCNT-2308519,CPACSLZRDZGWSJ-UHFFFAOYSA-N,3,4,4,0,0
OCNT-2308520,FVRLQWKIQOWWAO-UHFFFAOYSA-N,2,1,4,3,2
OCNT-2308522,ZQWSUQKQDOTTCE-UHFFFAOYSA-N,1,3,1,4,0
OCNT-2308523,PUSXQGIJOIJEEE-UHFFFAOYSA-N,4,0,4,0,4
OCNT-2308526,WYKFILXPIPIWKO-UHFFFAOYSA-N,4,3,0,4,2
OCNT-2308529,KBIFFZFLJCHRSB-UHFFFAOYSA-N,0,4,0,4,0
OCNT-2308531,BZQFGNJQXVEMQC-UHFFFAOYSA-N,0,3,0,0,3
OCNT-2308536,BKRQMPMFIGCEQO-UHFFFAOYSA-N,3,2,1,0,3
OCNT-2308537,QCPPGXUAWUBFAE-UHFFFAOYSA-N,1,4,0,1,0
OCNT-2308539,ZWRLRPADEBXZJB-UHFFFAOYSA-N,0,0,1,0,4
OCNT-2308543,AAUDAIVFRROHGC-UHFFFAOYSA-N,0,2,4,3,0
OCNT-2308546,GNFJDSSWFMORPO-VXGBXAGGSA-N,4,1,0,4,0
OCNT-2308550,JCVYGXQQGUWEBI-UHFFFAOYSA-N,1,3,1,1,4
OCNT-2308553,PVLYROGYOCQWRM-UHFFFAOYSA-N,0,2,2,0,0
OCNT-2308554,JHNSUBHCHVVGQI-UHFFFAOYSA-N,4,0,0,0,2
OCNT-2308556,SWJFEOOTYQNNQB-UHFFFAOYSA-N,4,0,3,2,3
OCNT-2308557,VEVIEDVOUPSXNL-HOCLYGCPSA-N,4,0,0,0,1
OCNT-2308560,KGGXLTJOCZBYMP-UHFFFAOYSA-N,0,2,0,2,1
OCNT-2308562,PHWUOFXXLTWMIY-UHFFFAOYSA-N,2,0,2,1,3
OCNT-2308571,JBLWNFFRBGGQRJ-UHFFFAOYSA-N,0,0,2,3,0
OCNT-2308576,RNTIEMUIAFFWHS-UHFFFAOYSA-N,4,2,3,2,1
OCNT-2308578,JQMFLSFHACFZKD-UHFFFAOYSA-N,3,2,4,4,0
OCNT-2308583,SZQOFSLZUFSAPQ-UHFFFAOYSA-N,1,3,2,3,1
OCNT-2308584,ALMQKCCGRABQBO-UHFFFAOYSA-N,2,2,4,4,4
OCNT-2308585,KOJVPCIQCXWRGV-LRDDRELGSA-N,0,1,3,0,1
OCNT-2308588,FJUHYDGFHVCIQR-UHFFFAOYSA-N,1,1,0,4,1
OCNT-2308589,OSXJAFIEDOREKR-UHFFFAOYSA-N,2,1,1,1,0
OCNT-2308592,AGHRSHXYCSETRU-UHFFFAOYSA-N,3,2,0,4,3
OCNT-2308594,DLIWZFLURZGWCN-AZUAARDMSA-N,0,2,3,3,4
OCNT-2308597,CONRZOMJFHPQDZ-UHFFFAOYSA-N,3,3,0,3,0
OCNT-2308599,JXYXGAQDRCZGRG-UHFFFAOYSA-N,2,3,2,2,3
OCNT-2308600,NABUIGWXEXMHMS-UHFFFAOYSA-N,1,1,2,1,1
OCNT-2308601,QAKYWAMJKFCXEF-UHFFFAOYSA-N,2,2,1,0,4
OCNT-2308603,JLAOTGNFFLOXRH-UHFFFAOYSA-N,0,4,2,2,2
OCNT-2308604,GWKKACOWMLNGAU-UHFFFAOYSA-N,1,3,2,4,2
OCNT-2308605,FRJHGODPRBMHPF-UHFFFAOYSA-N,1,1,2,4,0
OCNT-2308609,RALAWWZGDHUZBU-UHFFFAOYSA-N,1,1,0,3,3
OCNT-2308610,AVCXISNYMQIPJV-UHFFFAOYSA-N,4,4,2,0,0
OCNT-2308613,GEIMNQZCPAZKBE-UHFFFAOYSA-N,4,4,0,1,4
OCNT-2308614,PMARXGXDUQASRS-SXUUOERCSA-N,4,4,0,2,2
OCNT-2308619,YLTPAJXOVJXXRY-UHFFFAOYSA-N,2,2,1,0,4
OCNT-2308624,HCZDJIDHWJKQNL-UHFFFAOYSA-N,0,3,4,2,2
OCNT-2308626,HQIXODCYFGBKNG-UHFFFAOYSA-N,0,3,3,3,4
OCNT-2308630,KPRTVCJELJEXDA-UHFFFAOYSA-N,1,2,0,1,3
OCNT-2308632,BNVYMBNZHADONN-UHFFFAOYSA-N,0,2,3,1,1
OCNT-2308635,RJVRSUUZAWJBFO-UHFFFAOYSA-N,2,3,2,2,1
OCNT-2308638,MPCZYGOSXOARMM-UWEBFBLFSA-N,4,1,4,4,2
OCNT-2308640,AAYXDSMALIOPQB-UHFFFAOYSA-N,0,2,4,4,3
OCNT-2308641,PTLQVNHZLMHXGQ-UHFFFAOYSA-N,2,1,4,0,0
OCNT-2308645,ANPHAOHEORVOHK-UHFFFAOYSA-N,4,2,0,1,0
OCNT-2308646,DDYGUKULIGNEQA-UHFFFAOYSA-N,3,2,1,1,1
OCNT-2308647,VNQSMJWLAHOHHG-UHFFFAOYSA-N,2,3,0,1,4
OCNT-2308649,NECXPRJZRYCKAT-UHFFFAOYSA-N,0,4,0,4,4
OCNT-2308656,SFFQJAZXVFNTET-UHFFFAOYSA-N,0,1,4,0,3
OCNT-2308660,KGJRVDOHNIXDMY-UHFFFAOYSA-N,0,4,1,4,3
OCNT-2308661,AZASSXZRDAGZPS-UHFFFAOYSA-N,4,2,3,2,1
OCNT-2308664,IJXKTNXZLUWVPW-UHFFFAOYSA-N,4,4,4,0,1
OCNT-2308666,YRULVSZKPXWCAI-UHFFFAOYSA-N,2,4,1,3,0
OCNT-2308667,HARMXPWBSOZJFG-UHFFFAOYSA-N,3,4,2,2,2
OCNT-2308674,MTNCBXHNXWKXRE-UHFFFAOYSA-N,1,0,3,4,4
OCNT-2308676,XCLONNWVKWTSBY-UHFFFAOYSA-N,2,2,4,2,0
OCNT-2308680,JMYMUKYHTNJJQP-UHFFFAOYSA-N,2,2,2,1,1
OCNT-2308682,JZKCGQFNKIROBD-UHFFFAOYSA-N,0,0,1,3,0
OCNT-2308683,GFMCPOUBFSTUTJ-UHFFFAOYSA-N,4,4,0,1,2
OCNT-2308684,DHQWOWWYSIXUOX-UHFFFAOYSA-N,3,2,0,1,0
OCNT-2308687,BOENRGZTNSTROB-UHFFFAOYSA-N,0,0,0,0,4
OCNT-2308689,RBIQMTORZFPEDR-UHFFFAOYSA-N,0,2,2,4,0
OCNT-2308690,CFWFMSIZXRKNNO-UHFFFAOYSA-N,4,2,4,4,1
OCNT-2308693,JKRHRSTTXYTARO-UHFFFAOYSA-N,0,2,4,3,2
OCNT-2308695,MRFSFKZEHHILJU-UHFFFAOYSA-N,4,2,3,1,1
OCNT-2308698,MXXXXMGDCZIZBB-UHFFFAOYSA-N,1,4,4,3,2
OCNT-2308706,LPAPGSISEAYHFM-UHFFFAOYSA-N,1,2,0,0,3
OCNT-2308707,NWPWJRDPPQHNKN-MEDUHNTESA-N,2,2,4,2,3
OCNT-2308709,DGAVKHWOPCDSTP-UHFFFAOYSA-N,1,2,0,3,0
OCNT-2308710,WHDFCOKAEBTKOH-UHFFFAOYSA-N,4,1,2,2,3
OCNT-2308711,PLMFUTBIWIEIMS-UHFFFAOYSA-N,2,2,0,1,3
OCNT-2308715,DRNKHGWQMRLKOU-HJWAUIETSA-N,4,4,1,0,0
OCNT-2308723,IBLMLYIIJGOTCM-UHFFFAOYSA-N,1,0,2,1,4
OCNT-2308724,CCDBOIJOTSQWKK-UHFFFAOYSA-N,2,4,3,2,4
OCNT-2308733,PTVZTCDGISETJJ-ROUUACIJSA-N,3,0,4,1,3
OCNT-2308739,ZTKDJIPAEOPJOD-UHFFFAOYSA-N,1,1,0,0,0
OCNT-2308740,XQTHQQRIGKWCMM-TTZKSVMKSA-N,1,0,3,3,0
OCNT-2308744,XFLBADZEIKRUNC-UHFFFAOYSA-N,2,4,2,3,2
OCNT-2308747,IDDNPFILCTUATL-UHFFFAOYSA-N,3,2,0,4,1
OCNT-2308748,FLKYDMSXMXMDMV-UHFFFAOYSA-N,1,4,4,4,4
OCNT-2308752,NKTQBGOJRHMUPR-UHFFFAOYSA-N,3,3,2,2,1
OCNT-2308758,FXXYHKSHHGBPFH-UHFFFAOYSA-N,2,4,4,2,4
OCNT-2308759,FWUVJXRZTDKDIO-UHFFFAOYSA-N,3,4,0,1,1
OCNT-2308760,CZPCBSYPEXOWNN-KXBFYZLASA-N,0,0,2,2,3
OCNT-2308762,WGTVPWWJGGBSDL-UHFFFAOYSA-N,2,4,4,2,1
OCNT-2308763,XPFVXDLQPUQWJN-UHFFFAOYSA-N,1,2,2,2,4
OCNT-2308765,JUGYXNPIHCVGNQ-PJYWTSEFSA-N,3,4,3,4,0
OCNT-2308766,JVBOUMBYROEYMI-UHFFFAOYSA-N,2,0,4,1,2
OCNT-2308768,SLVCIRWUTNDVDY-UHFFFAOYSA-N,0,4,3,0,1
OCNT-2308772,ZINLPRLSSZVKAU-UHFFFAOYSA-M,4,2,0,4,0
OCNT-2308773,QVLXWVMMBVVLLJ-UHFFFAOYSA-N,3,2,3,2,1
OCNT-2308774,MXKDWVMKCZFVKO-UHFFFAOYSA-N,2,2,0,3,1
OCNT-2308775,HNCQSEQJZWSJMC-UHFFFAOYSA-N,1,3,1,0,0
OCNT-2308782,FYTHBWWFVYEGBA-UHFFFAOYSA-N,3,4,1,4,0
OCNT-2308783,KTVLLRJMYGKMJX-CQSZACIVSA-N,3,1,1,2,0
OCNT-2308786,QEOXVVPEQNNDJI-UHFFFAOYSA-N,1,0,0,2,0
OCNT-2308794,FGQIIXMRZKWIQS-UHFFFAOYSA-N,0,4,1,3,0
OCNT-2308798,WPBCUTZPCFFBTO-UHFFFAOYSA-N,2,2,4,1,0
OCNT-2308800,VCLGJYGBQRUEQK-UHFFFAOYSA-N,1,0,1,3,2
OCNT-2308803,JIFHBVQNLSIJPG-UHFFFAOYSA-N,0,0,0,1,3
OCNT-2308808,GCIKBYNGPPOSAR-UHFFFAOYSA-N,0,0,3,1,1
OCNT-2308810,JGLRPGXNNHQDGO-UHFFFAOYSA-N,3,1,3,1,2
OCNT-2308811,PNCZMKHABMWZJN-ZIAGYGMSSA-N,1,3,0,3,0
OCNT-2308814,PQRKMMCTKGCBAT-UHFFFAOYSA-N,3,3,1,4,4
OCNT-2308817,LZWPGDLJEWKAJG-UHFFFAOYSA-N,1,3,4,0,4
OCNT-2308818,FZCCZRTVIJFQKN-UHFFFAOYSA-N,0,3,4,0,1
OCNT-2308821,JAPPCCYAUPAWPQ-UHFFFAOYSA-N,0,4,0,0,1
