descriptor,nan_count,nan_rate
MAXddsN,4883,0.9955147808358817
MINddsN,4883,0.9955147808358817
MAXdCH2,4870,0.9928644240570846
MINdCH2,4870,0.9928644240570846
MINdsN,4859,0.9906218144750255
MAXdsN,4859,0.9906218144750255
MAXssS,4786,0.9757390417940877
MINssS,4786,0.9757390417940877
MAXdsCH,4774,0.9732925586136595
MINdsCH,4774,0.9732925586136595
MINsBr,4766,0.9716615698267075
MAXsBr,4766,0.9716615698267075
MAXtN,4750,0.9683995922528033
MINtN,4750,0.9683995922528033
MDEC-44,4734,0.9651376146788991
MINtsC,4728,0.963914373088685
MAXtsC,4728,0.963914373088685
MDEN-13,4605,0.9388379204892966
MAXsNH2,4597,0.9372069317023446
MINsNH2,4597,0.9372069317023446
MDEN-12,4529,0.9233435270132517
MAXsCl,4321,0.8809378185524974
MINsCl,4321,0.8809378185524974
MAXaaS,4303,0.8772680937818552
MINaaS,4303,0.8772680937818552
MDEO-22,4233,0.8629969418960245
MINaaO,4231,0.8625891946992864
MAXaaO,4231,0.8625891946992864
MAXddssS,4218,0.8599388379204893
MINddssS,4218,0.8599388379204893
MINsOH,4117,0.8393476044852192
MAXsOH,4117,0.8393476044852192
MAXaaNH,4009,0.817329255861366
MINaaNH,4009,0.817329255861366
MDEC-14,3937,0.8026503567787971
MINsF,3748,0.7641182466870541
MAXsF,3748,0.7641182466870541
MINssssC,3645,0.7431192660550459
MDEC-24,3645,0.7431192660550459
MDEC-34,3645,0.7431192660550459
MAXssssC,3645,0.7431192660550459
MAXaaaC,3496,0.7127420998980633
MINaaaC,3496,0.7127420998980633
MDEN-33,3359,0.6848114169215087
MINaasN,3124,0.636901121304791
MAXaasN,3124,0.636901121304791
MAXssO,3028,0.617329255861366
MINssO,3028,0.617329255861366
MDEC-11,2965,0.6044852191641182
MDEO-12,2911,0.5934760448521916
MDEO-11,2710,0.5524974515800204
MINsssN,2212,0.4509683995922528
MAXsssN,2212,0.4509683995922528
MAXsssCH,1804,0.3677879714576962
MINsssCH,1804,0.3677879714576962
MINssNH,1761,0.35902140672782873
MAXssNH,1761,0.35902140672782873
MDEN-23,1513,0.30846075433231396
MDEN-22,1430,0.291539245667686
MAXaaN,1400,0.2854230377166157
MINaaN,1400,0.2854230377166157
MINsCH3,1359,0.27706422018348625
MAXsCH3,1359,0.27706422018348625
MDEC-13,1351,0.27543323139653414
MDEC-12,1349,0.2750254841997961
MAXdssC,1172,0.23893985728848113
MINdssC,1172,0.23893985728848113
MINdO,784,0.1598369011213048
MAXdO,784,0.1598369011213048
MINssCH2,372,0.07584097859327217
MAXssCH2,372,0.07584097859327217
MAXaaCH,120,0.024464831804281346
MINaaCH,120,0.024464831804281346
MAXaasC,91,0.01855249745158002
MINaasC,91,0.01855249745158002
GATS8i,19,0.003873598369011213
GATS8c,19,0.003873598369011213
GATS8v,19,0.003873598369011213
AATS8pe,19,0.003873598369011213
AATSC8i,19,0.003873598369011213
AATSC8m,19,0.003873598369011213
AATSC8v,19,0.003873598369011213
GATS8p,19,0.003873598369011213
AATSC8se,19,0.003873598369011213
AATSC8s,19,0.003873598369011213
MATS8i,19,0.003873598369011213
AATS8are,19,0.003873598369011213
AATS8i,19,0.003873598369011213
MATS8are,19,0.003873598369011213
AATSC8pe,19,0.003873598369011213
GATS8are,19,0.003873598369011213
AATS8p,19,0.003873598369011213
AATSC8Z,19,0.003873598369011213
AATSC8are,19,0.003873598369011213
GATS8pe,19,0.003873598369011213
GATS8se,19,0.003873598369011213
GATS8d,19,0.003873598369011213
AATSC8p,19,0.003873598369011213
MATS8pe,19,0.003873598369011213
GATS8dv,19,0.003873598369011213
MATS8p,19,0.003873598369011213
AATS8s,19,0.003873598369011213
AATS8v,19,0.003873598369011213
AATSC8c,19,0.003873598369011213
AATSC8dv,19,0.003873598369011213
AATS8d,19,0.003873598369011213
MATS8s,19,0.003873598369011213
AATS8m,19,0.003873598369011213
AATS8Z,19,0.003873598369011213
GATS8s,19,0.003873598369011213
MATS8dv,19,0.003873598369011213
MATS8Z,19,0.003873598369011213
MATS8se,19,0.003873598369011213
MATS8m,19,0.003873598369011213
MATS8d,19,0.003873598369011213
GATS8Z,19,0.003873598369011213
AATS8dv,19,0.003873598369011213
AATS8se,19,0.003873598369011213
GATS8m,19,0.003873598369011213
AATSC8d,19,0.003873598369011213
MATS8v,19,0.003873598369011213
MATS8c,19,0.003873598369011213
MDEC-33,11,0.002242609582059123
AXp-7d,8,0.0016309887869520897
AXp-7dv,8,0.0016309887869520897
Vabc,7,0.0014271151885830785
AATSC7pe,6,0.0012232415902140672
MATS7s,6,0.0012232415902140672
MATS7p,6,0.0012232415902140672
AATSC7dv,6,0.0012232415902140672
GATS7dv,6,0.0012232415902140672
AATS7s,6,0.0012232415902140672
GATS7are,6,0.0012232415902140672
MATS7pe,6,0.0012232415902140672
MATS7i,6,0.0012232415902140672
AATSC7se,6,0.0012232415902140672
AATS7d,6,0.0012232415902140672
AATSC7are,6,0.0012232415902140672
MATS7Z,6,0.0012232415902140672
AATSC7m,6,0.0012232415902140672
MDEC-23,6,0.0012232415902140672
GATS7c,6,0.0012232415902140672
MATS7m,6,0.0012232415902140672
AATS7dv,6,0.0012232415902140672
AATSC7d,6,0.0012232415902140672
AATSC7v,6,0.0012232415902140672
GATS7s,6,0.0012232415902140672
GATS7p,6,0.0012232415902140672
AATSC7Z,6,0.0012232415902140672
AATS7m,6,0.0012232415902140672
AATS7are,6,0.0012232415902140672
AATSC7c,6,0.0012232415902140672
MATS7se,6,0.0012232415902140672
AATS7p,6,0.0012232415902140672
GATS7se,6,0.0012232415902140672
MATS7dv,6,0.0012232415902140672
AATS7v,6,0.0012232415902140672
GATS7m,6,0.0012232415902140672
GATS7d,6,0.0012232415902140672
AATSC7s,6,0.0012232415902140672
AATSC7i,6,0.0012232415902140672
MATS7c,6,0.0012232415902140672
AATS7se,6,0.0012232415902140672
AATS7pe,6,0.0012232415902140672
GATS7v,6,0.0012232415902140672
MATS7are,6,0.0012232415902140672
GATS7i,6,0.0012232415902140672
AATS7i,6,0.0012232415902140672
MATS7v,6,0.0012232415902140672
MATS7d,6,0.0012232415902140672
AATSC7p,6,0.0012232415902140672
GATS7pe,6,0.0012232415902140672
GATS7Z,6,0.0012232415902140672
AATS7Z,6,0.0012232415902140672
MDEC-22,5,0.0010193679918450561
AXp-6d,4,0.0008154943934760449
AXp-6dv,4,0.0008154943934760449
GATS6i,2,0.00040774719673802244
AATSC6Z,2,0.00040774719673802244
GATS6Z,2,0.00040774719673802244
AATSC6s,2,0.00040774719673802244
GATS6are,2,0.00040774719673802244
GATS6pe,2,0.00040774719673802244
GATS6m,2,0.00040774719673802244
AXp-4d,2,0.00040774719673802244
AXp-5d,2,0.00040774719673802244
GATS6se,2,0.00040774719673802244
GATS6d,2,0.00040774719673802244
AATSC6d,2,0.00040774719673802244
GATS6dv,2,0.00040774719673802244
GATS6p,2,0.00040774719673802244
GATS6v,2,0.00040774719673802244
AATSC6c,2,0.00040774719673802244
AATSC6m,2,0.00040774719673802244
AATSC6dv,2,0.00040774719673802244
GATS6s,2,0.00040774719673802244
AATS6s,2,0.00040774719673802244
AATSC6are,2,0.00040774719673802244
MATS6s,2,0.00040774719673802244
MATS6v,2,0.00040774719673802244
AATSC6p,2,0.00040774719673802244
AATS6i,2,0.00040774719673802244
MATS6are,2,0.00040774719673802244
AATS6Z,2,0.00040774719673802244
AATS6p,2,0.00040774719673802244
MATS6d,2,0.00040774719673802244
AATS6are,2,0.00040774719673802244
AATSC6i,2,0.00040774719673802244
AATS6pe,2,0.00040774719673802244
AATS6m,2,0.00040774719673802244
MATS6pe,2,0.00040774719673802244
MATS6se,2,0.00040774719673802244
MATS6c,2,0.00040774719673802244
AATS6se,2,0.00040774719673802244
MATS6dv,2,0.00040774719673802244
MATS6m,2,0.00040774719673802244
AATS6v,2,0.00040774719673802244
AATSC6se,2,0.00040774719673802244
MATS6p,2,0.00040774719673802244
AATS6dv,2,0.00040774719673802244
AATSC6v,2,0.00040774719673802244
GATS6c,2,0.00040774719673802244
AATS6d,2,0.00040774719673802244
AATSC6pe,2,0.00040774719673802244
MATS6Z,2,0.00040774719673802244
AXp-4dv,2,0.00040774719673802244
MATS6i,2,0.00040774719673802244
AXp-5dv,2,0.00040774719673802244
VR1_D,0,0.0
SpMAD_D,0,0.0
LogEE_D,0,0.0
NssBH,0,0.0
NssBe,0,0.0
NssssBe,0,0.0
VR2_D,0,0.0
VE1_D,0,0.0
NssssN,0,0.0
VE2_D,0,0.0
NsLi,0,0.0
VR3_D,0,0.0
VE3_D,0,0.0
NsssB,0,0.0
NtN,0,0.0
NdsCH,0,0.0
NssssB,0,0.0
NaaaC,0,0.0
NsssNH,0,0.0
NdsN,0,0.0
NaaN,0,0.0
NssNH,0,0.0
NdNH,0,0.0
NssNH2,0,0.0
NsNH2,0,0.0
NsNH3,0,0.0
NsOH,0,0.0
NsssN,0,0.0
NssssC,0,0.0
NaasC,0,0.0
NsCH3,0,0.0
NdssC,0,0.0
NddsN,0,0.0
NtsC,0,0.0
NddC,0,0.0
NsssCH,0,0.0
NaaCH,0,0.0
NaasN,0,0.0
NaaNH,0,0.0
NtCH,0,0.0
NssCH2,0,0.0
NdCH2,0,0.0
SsSiH3,0,0.0
NdS,0,0.0
NdO,0,0.0
SsBr,0,0.0
SssSnH2,0,0.0
SsssSnH,0,0.0
SssssSn,0,0.0
SsI,0,0.0
SsPbH3,0,0.0
SssPbH2,0,0.0
SsssPbH,0,0.0
SssssPb,0,0.0
SsF,0,0.0
SaaO,0,0.0
SssO,0,0.0
SdO,0,0.0
SsOH,0,0.0
SssssN,0,0.0
SaasN,0,0.0
SddsN,0,0.0
SsssN,0,0.0
SaaN,0,0.0
SdsN,0,0.0
SsssNH,0,0.0
StN,0,0.0
SaaNH,0,0.0
SssNH,0,0.0
SdNH,0,0.0
SssNH2,0,0.0
SsNH2,0,0.0
SsNH3,0,0.0
SsSnH3,0,0.0
SddssSe,0,0.0
SaaaC,0,0.0
SdssSe,0,0.0
SsssSiH,0,0.0
SssssSi,0,0.0
SsPH2,0,0.0
SssPH,0,0.0
SsssP,0,0.0
SdsssP,0,0.0
SsssssP,0,0.0
SsSH,0,0.0
SdS,0,0.0
SssS,0,0.0
SaaS,0,0.0
SdssS,0,0.0
SddssS,0,0.0
SsCl,0,0.0
SsGeH3,0,0.0
SssGeH2,0,0.0
SsssGeH,0,0.0
SssssGe,0,0.0
SsAsH2,0,0.0
SssAsH,0,0.0
SsssAs,0,0.0
SsssdAs,0,0.0
SsssssAs,0,0.0
SsSeH,0,0.0
SdSe,0,0.0
SssSe,0,0.0
SaaSe,0,0.0
SssssC,0,0.0
SaasC,0,0.0
NssO,0,0.0
NdSe,0,0.0
NsssssAs,0,0.0
NsssdAs,0,0.0
NsssAs,0,0.0
NssAsH,0,0.0
NsAsH2,0,0.0
NssssGe,0,0.0
NsssGeH,0,0.0
NssGeH2,0,0.0
NsGeH3,0,0.0
NsCl,0,0.0
NddssS,0,0.0
NdssS,0,0.0
NaaS,0,0.0
NssS,0,0.0
SssSiH2,0,0.0
NsSH,0,0.0
NsssssP,0,0.0
NdsssP,0,0.0
NsssP,0,0.0
NssPH,0,0.0
NsPH2,0,0.0
NssssSi,0,0.0
NsssSiH,0,0.0
NssSiH2,0,0.0
NsSiH3,0,0.0
NsF,0,0.0
NaaO,0,0.0
NsSeH,0,0.0
NssSe,0,0.0
SdssC,0,0.0
NaaSe,0,0.0
StsC,0,0.0
SddC,0,0.0
SsssCH,0,0.0
SaaCH,0,0.0
SdsCH,0,0.0
StCH,0,0.0
SssCH2,0,0.0
SdCH2,0,0.0
SsCH3,0,0.0
SssssB,0,0.0
SsssB,0,0.0
SssBH,0,0.0
SssssBe,0,0.0
SssBe,0,0.0
SsLi,0,0.0
NssssPb,0,0.0
NsssPbH,0,0.0
NssPbH2,0,0.0
NsPbH3,0,0.0
NsI,0,0.0
NssssSn,0,0.0
NsssSnH,0,0.0
NssSnH2,0,0.0
NsSnH3,0,0.0
NsBr,0,0.0
NddssSe,0,0.0
NdssSe,0,0.0
ABC,0,0.0
ETA_epsilon_1,0,0.0
ECIndex,0,0.0
n11FaRing,0,0.0
n7FRing,0,0.0
n6FRing,0,0.0
n5FRing,0,0.0
n4FRing,0,0.0
nFRing,0,0.0
nG12AHRing,0,0.0
n12AHRing,0,0.0
n11AHRing,0,0.0
n10AHRing,0,0.0
n9AHRing,0,0.0
n8AHRing,0,0.0
n7AHRing,0,0.0
n6AHRing,0,0.0
n5AHRing,0,0.0
n4AHRing,0,0.0
n3AHRing,0,0.0
nAHRing,0,0.0
nG12ARing,0,0.0
n12ARing,0,0.0
n11ARing,0,0.0
n10ARing,0,0.0
n8FRing,0,0.0
n9FRing,0,0.0
n10FRing,0,0.0
n11FHRing,0,0.0
n9FaRing,0,0.0
n8FaRing,0,0.0
n7FaRing,0,0.0
n6FaRing,0,0.0
n5FaRing,0,0.0
n4FaRing,0,0.0
nFaRing,0,0.0
nG12FHRing,0,0.0
n12FHRing,0,0.0
n10FHRing,0,0.0
n11FRing,0,0.0
n9FHRing,0,0.0
n8FHRing,0,0.0
n7FHRing,0,0.0
n6FHRing,0,0.0
n5FHRing,0,0.0
n4FHRing,0,0.0
nFHRing,0,0.0
nG12FRing,0,0.0
n12FRing,0,0.0
n9ARing,0,0.0
n8ARing,0,0.0
n7ARing,0,0.0
n8HRing,0,0.0
n5aRing,0,0.0
n4aRing,0,0.0
n3aRing,0,0.0
naRing,0,0.0
nG12HRing,0,0.0
n12HRing,0,0.0
n11HRing,0,0.0
n10HRing,0,0.0
n9HRing,0,0.0
n7HRing,0,0.0
n7aRing,0,0.0
n6HRing,0,0.0
n5HRing,0,0.0
n4HRing,0,0.0
n3HRing,0,0.0
nHRing,0,0.0
nG12Ring,0,0.0
n12Ring,0,0.0
n11Ring,0,0.0
n10Ring,0,0.0
n6aRing,0,0.0
n8aRing,0,0.0
n6ARing,0,0.0
n8aHRing,0,0.0
n5ARing,0,0.0
n4ARing,0,0.0
n3ARing,0,0.0
nARing,0,0.0
nG12aHRing,0,0.0
n12aHRing,0,0.0
n11aHRing,0,0.0
n10aHRing,0,0.0
n9aHRing,0,0.0
n7aHRing,0,0.0
n9aRing,0,0.0
n6aHRing,0,0.0
n5aHRing,0,0.0
n4aHRing,0,0.0
n3aHRing,0,0.0
naHRing,0,0.0
nG12aRing,0,0.0
n12aRing,0,0.0
n11aRing,0,0.0
n10aRing,0,0.0
n10FaRing,0,0.0
n12FaRing,0,0.0
ETA_alpha,0,0.0
nG12FaRing,0,0.0
MWC04,0,0.0
MWC03,0,0.0
MWC02,0,0.0
MWC01,0,0.0
VAdjMat,0,0.0
PetitjeanIndex,0,0.0
TopoShapeIndex,0,0.0
Radius,0,0.0
Diameter,0,0.0
JGT10,0,0.0
JGI10,0,0.0
JGI9,0,0.0
JGI8,0,0.0
JGI7,0,0.0
JGI6,0,0.0
JGI5,0,0.0
JGI4,0,0.0
JGI3,0,0.0
JGI2,0,0.0
JGI1,0,0.0
GGI10,0,0.0
MWC05,0,0.0
MWC06,0,0.0
MWC07,0,0.0
SRW09,0,0.0
mZagreb1,0,0.0
Zagreb2,0,0.0
Zagreb1,0,0.0
WPol,0,0.0
WPath,0,0.0
AMW,0,0.0
MW,0,0.0
TSRW10,0,0.0
SRW10,0,0.0
SRW08,0,0.0
MWC08,0,0.0
SRW07,0,0.0
SRW06,0,0.0
SRW05,0,0.0
SRW04,0,0.0
SRW03,0,0.0
SRW02,0,0.0
TMWC10,0,0.0
MWC10,0,0.0
MWC09,0,0.0
GGI9,0,0.0
GGI8,0,0.0
GGI7,0,0.0
nG12FaHRing,0,0.0
n11FARing,0,0.0
n10FARing,0,0.0
n9FARing,0,0.0
n8FARing,0,0.0
n7FARing,0,0.0
n6FARing,0,0.0
n5FARing,0,0.0
n4FARing,0,0.0
nFARing,0,0.0
n12FaHRing,0,0.0
nG12FARing,0,0.0
n11FaHRing,0,0.0
n10FaHRing,0,0.0
n9FaHRing,0,0.0
n8FaHRing,0,0.0
n7FaHRing,0,0.0
n6FaHRing,0,0.0
n5FaHRing,0,0.0
n4FaHRing,0,0.0
nFaHRing,0,0.0
n12FARing,0,0.0
nFAHRing,0,0.0
GGI6,0,0.0
RotRatio,0,0.0
GGI5,0,0.0
GGI4,0,0.0
GGI3,0,0.0
GGI2,0,0.0
GGI1,0,0.0
TopoPSA,0,0.0
TopoPSA(NO),0,0.0
SMR,0,0.0
SLogP,0,0.0
nRot,0,0.0
n4FAHRing,0,0.0
nG12FAHRing,0,0.0
n12FAHRing,0,0.0
n11FAHRing,0,0.0
n10FAHRing,0,0.0
n9FAHRing,0,0.0
n8FAHRing,0,0.0
n7FAHRing,0,0.0
n6FAHRing,0,0.0
n5FAHRing,0,0.0
n9Ring,0,0.0
n8Ring,0,0.0
n7Ring,0,0.0
n6Ring,0,0.0
BIC2,0,0.0
BIC1,0,0.0
BIC0,0,0.0
SIC5,0,0.0
SIC4,0,0.0
SIC3,0,0.0
SIC2,0,0.0
SIC1,0,0.0
SIC0,0,0.0
TIC5,0,0.0
TIC4,0,0.0
TIC3,0,0.0
TIC2,0,0.0
TIC1,0,0.0
TIC0,0,0.0
IC5,0,0.0
IC4,0,0.0
IC3,0,0.0
IC2,0,0.0
IC1,0,0.0
IC0,0,0.0
BIC3,0,0.0
BIC4,0,0.0
BIC5,0,0.0
MIC5,0,0.0
Kier3,0,0.0
Kier2,0,0.0
Kier1,0,0.0
ZMIC5,0,0.0
ZMIC4,0,0.0
ZMIC3,0,0.0
ZMIC2,0,0.0
ZMIC1,0,0.0
ZMIC0,0,0.0
MIC4,0,0.0
CIC0,0,0.0
MIC3,0,0.0
MIC2,0,0.0
MIC1,0,0.0
MIC0,0,0.0
CIC5,0,0.0
CIC4,0,0.0
CIC3,0,0.0
CIC2,0,0.0
CIC1,0,0.0
nHBDon,0,0.0
nHBAcc,0,0.0
fMF,0,0.0
ETA_beta_ns_d,0,0.0
AETA_eta_RL,0,0.0
ETA_eta_RL,0,0.0
AETA_eta_R,0,0.0
ETA_eta_R,0,0.0
AETA_eta_L,0,0.0
ETA_eta_L,0,0.0
AETA_eta,0,0.0
ETA_eta,0,0.0
AETA_beta_ns_d,0,0.0
AETA_beta_ns,0,0.0
AETA_eta_F,0,0.0
ETA_beta_ns,0,0.0
AETA_beta_s,0,0.0
ETA_beta_s,0,0.0
AETA_beta,0,0.0
ETA_beta,0,0.0
ETA_shape_x,0,0.0
ETA_shape_y,0,0.0
ETA_shape_p,0,0.0
AETA_alpha,0,0.0
ETA_eta_F,0,0.0
ETA_eta_FL,0,0.0
fragCpx,0,0.0
ETA_epsilon_5,0,0.0
ETA_dPsi_B,0,0.0
ETA_dPsi_A,0,0.0
ETA_psi_1,0,0.0
AETA_dBeta,0,0.0
ETA_dBeta,0,0.0
ETA_dEpsilon_D,0,0.0
ETA_dEpsilon_C,0,0.0
ETA_dEpsilon_B,0,0.0
ETA_dEpsilon_A,0,0.0
ETA_epsilon_4,0,0.0
AETA_eta_FL,0,0.0
ETA_epsilon_3,0,0.0
ETA_epsilon_2,0,0.0
SpDiam_D,0,0.0
ETA_dAlpha_B,0,0.0
ETA_dAlpha_A,0,0.0
AETA_eta_BR,0,0.0
ETA_eta_BR,0,0.0
AETA_eta_B,0,0.0
ETA_eta_B,0,0.0
Lipinski,0,0.0
GhoseFilter,0,0.0
FilterItLogS,0,0.0
AMID_C,0,0.0
MPC4,0,0.0
MPC3,0,0.0
MPC2,0,0.0
AMID_X,0,0.0
MID_X,0,0.0
AMID_O,0,0.0
MID_O,0,0.0
AMID_N,0,0.0
MID_N,0,0.0
MID_C,0,0.0
MPC6,0,0.0
AMID_h,0,0.0
MID_h,0,0.0
AMID,0,0.0
MID,0,0.0
VSA_EState9,0,0.0
VSA_EState8,0,0.0
VSA_EState7,0,0.0
VSA_EState6,0,0.0
VSA_EState5,0,0.0
MPC5,0,0.0
MPC7,0,0.0
VSA_EState3,0,0.0
piPC8,0,0.0
n5Ring,0,0.0
n4Ring,0,0.0
n3Ring,0,0.0
nRing,0,0.0
bpol,0,0.0
apol,0,0.0
TpiPC10,0,0.0
piPC10,0,0.0
piPC9,0,0.0
piPC7,0,0.0
MPC8,0,0.0
piPC6,0,0.0
piPC5,0,0.0
piPC4,0,0.0
piPC3,0,0.0
piPC2,0,0.0
piPC1,0,0.0
TMPC10,0,0.0
MPC10,0,0.0
MPC9,0,0.0
VSA_EState4,0,0.0
VSA_EState2,0,0.0
VMcGowan,0,0.0
PEOE_VSA10,0,0.0
SMR_VSA6,0,0.0
SMR_VSA5,0,0.0
SMR_VSA4,0,0.0
SMR_VSA3,0,0.0
SMR_VSA2,0,0.0
SMR_VSA1,0,0.0
PEOE_VSA13,0,0.0
PEOE_VSA12,0,0.0
PEOE_VSA11,0,0.0
PEOE_VSA9,0,0.0
SMR_VSA8,0,0.0
PEOE_VSA8,0,0.0
PEOE_VSA7,0,0.0
PEOE_VSA6,0,0.0
PEOE_VSA5,0,0.0
PEOE_VSA4,0,0.0
PEOE_VSA3,0,0.0
PEOE_VSA2,0,0.0
PEOE_VSA1,0,0.0
LabuteASA,0,0.0
SMR_VSA7,0,0.0
SMR_VSA9,0,0.0
VSA_EState1,0,0.0
EState_VSA1,0,0.0
EState_VSA10,0,0.0
EState_VSA9,0,0.0
EState_VSA8,0,0.0
EState_VSA7,0,0.0
EState_VSA6,0,0.0
EState_VSA5,0,0.0
EState_VSA4,0,0.0
EState_VSA3,0,0.0
EState_VSA2,0,0.0
SlogP_VSA11,0,0.0
SlogP_VSA1,0,0.0
SlogP_VSA10,0,0.0
SlogP_VSA9,0,0.0
SlogP_VSA8,0,0.0
SlogP_VSA7,0,0.0
SlogP_VSA6,0,0.0
SlogP_VSA5,0,0.0
SlogP_VSA4,0,0.0
SlogP_VSA3,0,0.0
SlogP_VSA2,0,0.0
SpAD_D,0,0.0
Xc-6d,0,0.0
SpMax_D,0,0.0
ATSC6m,0,0.0
ATSC4m,0,0.0
ATSC3m,0,0.0
ATSC2m,0,0.0
ATSC1m,0,0.0
ATSC0m,0,0.0
ATSC8Z,0,0.0
ATSC7Z,0,0.0
ATSC6Z,0,0.0
ATSC5Z,0,0.0
ATSC4Z,0,0.0
ATSC3Z,0,0.0
ATSC2Z,0,0.0
ATSC1Z,0,0.0
ATSC0Z,0,0.0
ATSC8s,0,0.0
ATSC7s,0,0.0
ATSC6s,0,0.0
ATSC5s,0,0.0
ATSC4s,0,0.0
ATSC5m,0,0.0
ATSC7m,0,0.0
ATSC2s,0,0.0
ATSC8m,0,0.0
ATSC0pe,0,0.0
ATSC8se,0,0.0
ATSC7se,0,0.0
ATSC6se,0,0.0
ATSC5se,0,0.0
ATSC4se,0,0.0
ATSC3se,0,0.0
ATSC2se,0,0.0
ATSC1se,0,0.0
ATSC0se,0,0.0
ATSC8v,0,0.0
ATSC7v,0,0.0
ATSC6v,0,0.0
ATSC5v,0,0.0
ATSC4v,0,0.0
ATSC3v,0,0.0
ATSC2v,0,0.0
ATSC1v,0,0.0
ATSC0v,0,0.0
ATSC3s,0,0.0
ATSC1s,0,0.0
AATS1are,0,0.0
ATSC5c,0,0.0
ATSC3c,0,0.0
ATSC2c,0,0.0
ATSC1c,0,0.0
ATSC0c,0,0.0
AATS5i,0,0.0
AATS4i,0,0.0
AATS3i,0,0.0
AATS2i,0,0.0
AATS1i,0,0.0
AATS0i,0,0.0
AATS5p,0,0.0
AATS4p,0,0.0
AATS3p,0,0.0
AATS2p,0,0.0
AATS1p,0,0.0
AATS0p,0,0.0
AATS5are,0,0.0
AATS4are,0,0.0
AATS3are,0,0.0
ATSC4c,0,0.0
ATSC6c,0,0.0
ATSC0s,0,0.0
ATSC7c,0,0.0
ATSC8d,0,0.0
ATSC7d,0,0.0
ATSC6d,0,0.0
ATSC5d,0,0.0
ATSC4d,0,0.0
ATSC3d,0,0.0
ATSC2d,0,0.0
ATSC1d,0,0.0
ATSC0d,0,0.0
ATSC8dv,0,0.0
ATSC7dv,0,0.0
ATSC6dv,0,0.0
ATSC5dv,0,0.0
ATSC4dv,0,0.0
ATSC3dv,0,0.0
ATSC2dv,0,0.0
ATSC1dv,0,0.0
ATSC0dv,0,0.0
ATSC8c,0,0.0
ATSC1pe,0,0.0
ATSC2pe,0,0.0
ATSC3pe,0,0.0
AATSC4m,0,0.0
AATSC2m,0,0.0
AATSC1m,0,0.0
AATSC0m,0,0.0
AATSC5Z,0,0.0
AATSC4Z,0,0.0
AATSC3Z,0,0.0
AATSC2Z,0,0.0
AATSC1Z,0,0.0
AATSC0Z,0,0.0
AATSC5s,0,0.0
