canonical_smiles,CYP1A2_pIC50_direct_inhibition,CYP2C9_pIC50_direct_inhibition,CYP2D6_pIC50_direct_inhibition,CYP3A4_pIC50_direct_inhibition,CYP1A2_AID1851_max_inhibition,CYP2C9_AID1851_max_inhibition,CYP2D6_AID1851_max_inhibition,CYP3A4_AID1851_max_inhibition,chemprop_split
c1ccc2[nH]c(-c3cscn3)nc2c1,5.8763208,,,,116.28543999999997,-26.15,33.22,16.4524,train
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,,,5.1874785,,60.34666666666667,-10.0617,83.10000000000001,44.75833333333333,train
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,,,5.06567975,,,,,,train
CNCCCN1c2ccccc2CCc2ccccc21,,,4.965686,,15.69,-13.7115,73.59,58.998149999999995,train
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,,4.14147425,,,99.04,-5.187,23.35,19.9037,train
Nc1c2c(nc3ccccc13)CCCC2,5.4400775,,4.81464714,4.17360075,99.03,5.374999999999999,28.75,32.6941,train
NC12CC3CC(CC(C3)C1)C2,,,,3.55973175,10.96,-19.53,6.365,3.507,train
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,4.370229,,,,,,,train
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,,,4.33091625,,22.04,88.05,-4.986,44.7944,train
COc1c2occc2cc2ccc(=O)oc12,6.60832,,4.64600475,,114.8,0.925,78.54,77.5132,train
N#Cc1cc(C(F)(F)F)ccc1N1CCC2(CCOC2)C1,,,,4.44350798,,,,,train
COCC1CN(C(=O)C2CC23CCc2ccccc23)CCO1,,,,4.61303725,,,,,train
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,,5.739996,3.7577585,,19.08,64.32,15.25,-24.1209,train
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,,,,2.8329065800000004,87.7,51.94,2.932,0.9561,train
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,,,4.794946,3.59595975,17.75,-0.1163,-2.149,13.6706,train
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,,,5.2299825,,,,,,train
Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,,,,4.8421165,,,,,train
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,3.24699525,,,,,,,,train
Nc1nc2ccc(OC(F)(F)F)cc2s1,5.60970175,,,,92.34,-54.19499999999999,11.14,47.68145,val
CCOc1ccccc1OCC1CNCCO1,6.27740425,,,,,,,,train
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,4.97192125,,3.55771675,,,,,,train
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,,,5.19411725,,7.929399999999999,-3.0939500000000004,82.47995,13.8739,train
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,5.1009275,,,,22.81,-4.99,10.9,15.6952,val
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,,,4.637883,,,,,,train
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.6925135,,,,106.1,29.12,21.71,84.5691,train
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,,4.3734675,4.77511725,,,,,train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,4.6511425,,,,,,,train
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,,4.1361133,,,88.08,-22.42,2.392,1.4135,train
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,5.77666798,5.1148495,,4.764477,106.6,30.12,3.889,25.9018,train
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,5.792149,,5.330839,,,,,val
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,4.18861062,,,,,,val
C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,,4.407049,,,,,,,val
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,,,5.06010225,,,,,,train
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,5.05052775,,,,,,,train
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,4.68661075,,,,,,,,train
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,4.72141475,,,,,,val
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,,,,3.2820968,,,,,train
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,,4.55410436,,,,,,,val
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,3.9248823799999997,,,,,,,val
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,,5.34398982,,,18.6665,76.445,40.2495,83.1951,train
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,,,,3.19794752,,,,,val
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,,,4.79149242,,,,,,train
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,,,,2.33750106,1.278,-9.922,-0.3961,14.1722,train
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,,,5.79318,5.407367,,,,,train
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,,,,2.798104,77.0,12.07,1.071,37.5572,train
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,3.21813,,3.2223935,,,,,train
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.17029275,,4.90177636,4.76771925,,,,,train
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,,5.296264,,5.374718,,,,,train
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,5.00654832,,,,,,,,train
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.472813,,,,,,,,train
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,,,3.948237,,,,,,train
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,,,4.45071625,,,,,,train
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,,,4.8694115,,,,,,train
Oc1c(Cl)cc(Cl)c2cccnc12,5.714821,,,,,,,,train
C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](C(C)=C[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,,4.37883175,,,,,,train
Clc1ccccc1CN1CCc2sccc2C1,5.01948175,,5.33466225,,113.0,24.9,83.75,37.4156,val
CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1,,,5.119248,,,,,,train
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,5.4383478,5.551158,3.878457,,,,,,train
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,,5.506299,,5.22235275,,,,,train
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,,5.453316,,4.20115775,60.32,71.5,6.736,-58.7881,train
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,,4.90955675,,,,,,,train
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,,,,4.59744075,0.7356,63.33,-2.458,73.8641,val
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,5.129696,,,,,,,,train
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,,5.62336375,,5.43627975,,,,,train
CCCCOCCOC(=O)c1cccnc1,5.05706494,,,,,,,,train
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,5.15313375,4.5274532999999995,4.938471,4.4406905,,,,,train
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,,,6.31295325,,,,,,train
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,,,,4.10308775,,,,,train
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,,,4.81228475,,-13.201096000000001,-50.78,9.827,6.6949,train
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,,,,5.6107375,,,,,train
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,3.174449,,3.95490325,5.70919825,,,,,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],6.90084,,,,105.4,23.1165,3.715,78.01060000000001,train
Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,5.1515222000000005,,4.181387819999999,4.96675875,,,,,train
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,,1.7152151,,,,,train
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,,4.1192215,,3.2492182200000004,,,,,train
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,,4.26161206,,4.9208085,,,,,train
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,,,4.3597408799999995,,,,,,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],6.432415,,,,,,,,train
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,,4.40701175,,3.21548225,1.594,-73.29,-5.419,15.6914,train
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,5.32261625,,,,,,,,train
O=c1[nH]c2cc(Cl)ccc2o1,5.56713008,,,,87.61500000000001,-1.487,5.906,14.0138,train
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,,3.51613702,,,,,train
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,,4.3340075,,,14.72,33.78,-2.113,42.5724,val
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,5.4231955,,,,,,,,train
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,,5.4092445,3.39263375,5.3757355,,,,,train
Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,,,4.3712585,,,,,,train
Cc1ccc(O)cc1,,4.00608125,,,,,,,val
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,,,4.47208436,,,,,,train
CCCCCCCC/C=C\CCCCCCCC(=O)O,,4.3736095,,4.1447535,,,,,train
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,,5.34040175,,5.06635,,,,,train
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,5.83127725,,,,100.3,47.34,17.16,48.7557,train
O=C(O)Cc1ccc(-c2ccccc2)cc1,,3.7573415199999998,,2.41701284,9.576,22.67,10.52,14.9347,train
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,,,5.1993235,,,,,,train
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,,,4.367382,,,,,,train
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,,,4.4393285,,90.59,61.62,35.71,83.1834,val
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,,7.39736675,,,,,,train
Clc1ccc2nsnc2c1NC1=NCCN1,,,4.38658096,,,,,,val
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.263734,,5.720066,,,,,,train
CCCCCCCCCCCCCCCC(=O)NCCO,,,,3.13449825,48.17,-26.18,7.292,4.5717,train
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,,,5.33671825,,,,,,val
Cc1cccc(C)c1NC(=O)C1CCCCN1C,,3.26408225,,,,,,,val
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,,,5.0179082600000005,,,,,,train
CN(C)CCOC(c1ccccc1)c1ccccc1,,,4.870665,,26.015,0.6006,68.49000000000001,9.89995,train
Cc1ccc(NC(=O)c2ccc3c(c2)nnn3C)cc1-c1ncco1,4.9000252600000005,,,4.628025,,,,,train
O=C1NCCCN(C(=O)c2cc[nH]c2C2CC2)C1Cc1ccccc1,,,,4.416048,,,,,train
Cc1cccc(CC(=O)NC2CCN(C3CCCCC3)C2=O)c1Cl,,,,4.40574475,,,,,val
c1ncc(Cc2nc(-c3ccc4c(c3)OCO4)no2)cn1,5.52025025,,,,,,,,train
O=C(NCC1CCN(Cc2cccs2)CC1)c1cccc(-n2cccn2)n1,,,4.07231025,,,,,,train
Cn1nnc2cc(C(=O)N3CCCC(n4ccc(C(F)(F)F)n4)C3)ccc21,4.0198215,4.27264174,,,,,,,val
COc1ccccc1-c1cn(Cc2nc(C(C)(C)C)cs2)nn1,5.2167005,,,5.58539775,,,,,train
O=C(NC1CCN(C(=O)c2ccc3c(c2)OCCCO3)CC1)c1ccsc1,,4.75989564,,3.9731845,,,,,val
O=C(Nc1ccccc1-c1ncc[nH]1)c1cc(-c2ccc(O)cc2)n[nH]1,5.90614975,,,,,,,,train
O=S(=O)(Nc1cccc2[nH]ccc12)c1sccc1C1CC1,5.233084,,,5.8021695,,,,,train
CCC1(CO)CCCN(C(=O)Nc2ccc3c(c2)N(C)CC3)C1,4.1836664,4.109457,,,,,,,train
CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,,4.37900875,5.07369688,,,,,,val
O=C(CCC1CC1)NC1CCCN(C(=O)Cc2cc(C3CC3)on2)CC1,,4.08363378,,3.5870257199999998,,,,,train
Cc1ccc2cc(-c3c[nH]c4cnccc34)cnc2c1C,5.461605,,3.47580175,,,,,,train
CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c(Cl)ccc(F)c1F,,,,4.70589875,,,,,train
Cc1c(C(=O)Nc2ccc(OCc3ccncc3)cc2)nnn1C,,4.9538635,,4.76820525,,,,,train
Cn1cc(OC2CN(c3cc(Br)cc(F)c3C#N)C2)cn1,7.02943,,4.55911866,,,,,,train
CC(C)N1CCN(C2CCN(C(=O)c3ccn(-c4ccc(F)cc4)n3)CC2)CC1,,,,3.30280962,,,,,train
Cc1cccc2c(=O)n(Cc3ncnn3C(C)C)cnc12,,,,3.18948546,,,,,train
O=C(c1ccc(O)cc1)N1CCN(c2cc(N3CCCC3)ncn2)CC1,,,,3.9614965,,,,,train
O=C1C[C@H]2OCC[C@@]2(c2nc(-c3ccc4c(c3)CCC4)no2)CN1,4.700189,,,,,,,,train
O=C(Nc1c[nH]nc1-c1ccccn1)c1cccc(-n2ccc(C(F)(F)F)n2)c1,5.3100305,,,,,,,,train
CCCn1nc(C)c(C(=O)Nc2cccc(-c3nnnn3C)c2)c1C,4.340715,,,,,,,,train
Cc1cc(=O)[nH]c2cc(C(=O)NCC3(c4nccn4C)NC(=O)NC3=O)ccc12,,,,2.74903086,,,,,train
O=C(Nc1ccc(Nc2ncccn2)cc1)c1cnn2ccncc12,,,,4.28701375,,,,,train
NS(=O)(=O)C1CCN(c2noc(-c3ccccc3)n2)CC1,,4.22958436,,,,,,,train
O=c1c2cncn2c2ccccc2n1CC1C2CCCCCC21,5.4466995,,4.228217,,,,,,train
O=C(NCc1ccc(-n2ccnc2)nc1)NC1COc2ccccc21,5.33901604,,5.112602,,,,,,train
C=C(C)C1OCCC1CNC(=O)N1CCCC1c1nc2cc(C)ccc2[nH]1,,4.12126425,,,,,,,train
CCN1CCOC(C(=O)Nc2cccc(C(=O)Nc3ccncc3)c2)C1,,,4.5178015,,,,,,train
CC(C)C1(O)CCC(NCc2ccccc2N2CCN(C)CC2)CC1,,,4.893621,,,,,,train
CCOC(=O)c1cnn2ccc(NC(=O)Cc3ccn(CC)n3)cc12,4.8814065,,,,,,,,train
CCC(C)Oc1cc(C(=O)N2CCC(C)c3cccc(O)c32)ccn1,,,,4.8768155,,,,,val
O=C(Cc1cc2ccccc2[nH]c1=O)Nc1ccc2[nH]nnc2c1,,4.60162275,,,,,,,train
c1ccc2oc(C3CCCCN3Cc3nnc4n3CCCCC4)nc2c1,,,4.690391,3.8992958,,,,,train
O=C(NCc1ncccc1F)N1CCC(CCc2ccc(F)cc2F)CC1,,5.32589775,,,,,,,train
Cc1oc(-c2ccccc2)nc1CC(=O)N1CCNC(C)(C)C1,,,4.62004725,,,,,,train
Cn1cncc1[C@@H]1C[C@H]1C(=O)Nc1c[nH]c2ccccc12,5.58729896,,4.65223586,,,,,,train
O=C(c1nn[nH]c1NC(=O)N1CCCC1c1nc2ccccc2[nH]1)N1CCCC1,,,,4.0343435,,,,,train
CC1(C)CC(C(=O)N2CCCn3nc(-c4ccccc4)nc32)C1,5.04877525,,,,,,,,train
Cc1ccn2c(=O)c(C(=O)N3CCN(C4CC4)c4c(C)cccc43)cnc2c1,3.9932845,,,,,,,,train
CN1C(=O)CCC(C(=O)Nc2cccc(-c3nnnn3C)c2)C1c1cnn(C)c1,,,,2.97565044,,,,,val
CCc1ccnc(C(=O)N[C@H]2CCCO[C@@H]2c2nccn2CC)c1,,,,3.7768956000000005,,,,,train
Cc1nc(N2CCn3c(nnc3-c3ccccc3)C2)nc(C)c1CC(C)C,,,,4.57152136,,,,,train
COc1cccc2sc(NC(=O)C3CCCOC3C)nc12,4.95904254,4.3594273999999995,,4.03568025,,,,,val
O=C(NCCc1nnc(-c2ccccc2)o1)c1ccc(F)c(Cl)c1,5.4222075,5.02616225,4.22812375,,,,,,train
Cc1csc(-c2ccc(NC(=O)c3cc(S(C)(=O)=O)ccc3C)cc2)n1,,4.9959725,,4.7156395,,,,,train
Cc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(N2CCOC2=O)cc1,,4.11672834,,,,,,,train
CC(CC(O)c1ccco1)Nc1ccn2ncc(Br)c2n1,,4.796054,,4.86499734,,,,,train
CC(C)(C(=O)N1CCC(COc2ccccc2)C1)c1cccnc1,,,,5.43913625,,,,,train
Cc1nc2ccccn2c1CNC(=O)[C@]12CNC[C@H]1COC2,,3.37245464,,,,,,,train
CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,5.13678425,4.134078499999999,5.510716,4.5020955,,,,,train
Cc1c(Cl)ccc2ccc(N3CCCC(c4ccn[nH]4)C3)nc12,,,3.45396125,,,,,,train
