canonical_smiles,CYP2C9_pIC50_direct_inhibition,chemprop_split
Cn1nnc2cc(C(=O)N3CCCC(n4ccc(C(F)(F)F)n4)C3)ccc21,3.937667097,train
O=C(NC1CCN(C(=O)c2ccc3c(c2)OCCCO3)CC1)c1ccsc1,4.422686977,train
CCC1(CO)CCCN(C(=O)Nc2ccc3c(c2)N(C)CC3)C1,3.40003183,train
CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,4.583366505,train
O=C(CCC1CC1)NC1CCCN(C(=O)Cc2cc(C3CC3)on2)CC1,3.709213582,train
NS(=O)(=O)C1CCN(c2noc(-c3ccccc3)n2)CC1,4.004888092,val
C=C(C)C1OCCC1CNC(=O)N1CCCC1c1nc2cc(C)ccc2[nH]1,3.37551358,train
O=C(Cc1cc2ccccc2[nH]c1=O)Nc1ccc2[nH]nnc2c1,4.167004022,train
COc1cccc2sc(NC(=O)C3CCCOC3C)nc12,4.198154762,train
Cc1csc(-c2ccc(NC(=O)c3cc(S(C)(=O)=O)ccc3C)cc2)n1,5.143536818,train
Cc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(N2CCOC2=O)cc1,3.779748205,train
CC(CC(O)c1ccco1)Nc1ccn2ncc(Br)c2n1,4.459796502,train
CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,4.06119356,val
O=C(Cn1cc(C(=O)N2CCOc3ccccc32)cn1)NC1CCCCC1,4.211255327,train
O=C(NCC1CCN(Cc2cccs2)CC1)c1cc(C2CC2)[nH]n1,2.898512752,train
O=C(c1cnn2c1CCCC2)N1CC(c2nc(-c3ccccc3)no2)C1,4.499618185,train
O=C(O)C1(O)CCCN(c2nccc(Oc3ccccc3)n2)C1,3.55747492,train
Nc1ccc(C(=O)Nc2ccc3[nH]c(-c4ccc(F)cc4)nc3c2)cn1,5.519434882,train
CCc1nn(Cc2coc(-c3cccc(OC)c3)n2)c(=O)c(C#N)c1CC,4.974725937,train
Cc1ccnc(C2CCN(C(=O)c3ccnc(-n4ccnc4)c3)CC2)n1,3.925035008,train
Cn1ccnc1CN1CCN(c2ccc3cc(Cl)cnc3n2)CC1,3.752890242,val
CC(Cc1cn(C)c2ccc(F)cc12)Nc1ncnc2c1ncn2C,4.5740716,val
Cn1nc(CNC(=O)[C@H]2COCC[C@H]2c2ccccc2)cc1C1CC1,2.99755775,train
COC(C)(C(=O)N1CCN(c2nccc(C(C)C)n2)CC1)c1ccccc1,5.175987735,val
O=C(Nc1cnn(-c2ccccc2)c1)NC(c1ccccc1)c1nnc[nH]1,4.499651285,val
c1c(C23CC4CC(CC(C4)C2)C3)nnn1Cc1n[nH]c2c1COCC2,4.024529555,train
CC(C)CC(CC(=O)[O-])C(=O)Nc1ccc2ncccc2c1,3.722566127,val
COc1ccc(NC(=O)Cc2c(C)nc3nc(SC)nn3c2C)cc1Cc1ccccc1,5.046452268,train
Cc1cc(CNC(=O)N[C@@H]2CCc3cc(F)ccc32)no1,3.654502347,train
Cc1cc(-c2nc(-c3ccc4c(c3)CCO4)no2)c2cnn(C(C)C)c2n1,4.01858695,val
CC(C)c1oncc1NC(=O)c1ccc2nnc(C(F)F)n2c1,3.994174403,val
Cc1cccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)C(=O)NCC4)c2)c1,5.599171183,train
O=S1(=O)CCC(c2csc(Cc3cccc4ccccc34)n2)C1,4.630061197,val
O=C(c1c[nH]c(-c2ccccc2)n1)N1CCN(CC2CCCO2)CC1,3.713054535,train
COc1ccc2c(c1)CCN2C(=O)Cn1cc(C(N)=O)c2ccccc21,4.77177413,train
O=C(c1ccc(N2CCCC2)nc1)N1CCCC(N2CCNC2=O)C1,3.588983172,train
O=C(NCc1ccoc1)N1CCC(c2c[nH]c3ccccc23)CC1,5.370662155,train
CC(C)n1ccc(CC(=O)N2CCCCC2CS(C)(=O)=O)n1,2.324801003,train
Cn1cc(NC(=O)c2ccc(C(=O)O)nc2)c(-c2ccccn2)n1,3.887100278,val
CN(C)S(=O)(=O)c1cc(NC(=O)c2cc3cc(F)ccc3[nH]2)ccc1F,5.579995453,val
CC(NC(=O)N1CCC(Cc2ccccc2)CC1)c1cn[nH]c1,5.155332777,train
Cc1c(CNC(=O)c2cccc(-n3cnnn3)c2)oc2ccc(F)cc12,5.55875766,train
COc1ccccc1-c1nn(C)cc1C(=O)Nc1ncc(-c2ccccn2)s1,4.33237451,train
CCc1ccc2c(c1)CCN2C(=O)Nc1cn(C)nc1C(F)(F)F,4.26659671,val
O=C(NCc1nnc2n1CCCCC2)NC1CC1c1cccc(F)c1,3.228993772,train
CC1(C)[C@H](NC(=O)Nc2ncn(C(C)(C)C)n2)[C@H]1c1ccccc1,4.90446892,train
CC1(C)CN(C(=O)CCc2ccc(C#N)cc2)c2ccccc2O1,4.784567685,train
CC(=O)NC1CCN(c2ncnc(N3CCC(NC(C)=O)C3)c2C)C1,3.142433313,train
Cn1c(=O)oc2cc(S(=O)(=O)Nc3cnc(C(C)(C)C)nc3)ccc21,3.992841445,train
CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c[nH]c2ncccc12,3.614555483,train
CC1(C)CC(c2ccccc2)CN1C(=O)c1nnc(C2CC2)o1,5.16500649,train
Cn1c(=O)oc2c(C(=O)N[C@H]3c4ccccc4CC[C@H]3O)cccc21,4.201528598,train
CN1C(=O)CCC(C(=O)NCCc2ccc3c(c2)OCCO3)C1c1ccccc1,4.187528027,train
CN(Cc1ccon1)C(=O)C1CCC(NC(=O)CC2CCCCC2)CC1,4.147305688,train
O=C(Cc1c[nH]c2cc(Cl)ccc12)NC1CCc2ncccc2C1,5.081989737,train
CC(CN1CCN(c2ccccn2)CC1)NC(=O)c1c[nH]c2cccnc12,4.468207203,train
O=C(C1=NOC(c2ccccc2)C1)N1CCC(Cc2nnn[nH]2)CC1,3.710952443,train
Cc1nocc1S(=O)(=O)Nc1cccc(S(=O)(=O)N(C)c2ccccc2)c1,6.045035507,train
CC1C(=O)N(Cc2ccc(OC(F)(F)F)cc2)C(=O)N1C1CCC1,4.55549884,val
COc1cccc(C(C)C(=O)N2CCCC(c3cn(C)nn3)C2)c1,4.367484565,train
Cc1cccc(NC(=O)C2CCCN(Cc3csnn3)C2)n1,4.325389643,val
CN(C)c1nccc2c1CCCN2C(=O)c1coc(C2CC2)n1,3.932196203,train
COc1cc(NC(=O)CN2CCN(c3cnn(C)c3)CC2)c(OC)cc1Cl,4.412506458,train
CN(CC1COc2ccccc2O1)C(=O)c1cc(N2CCOCC2)ccn1,3.709709253,val
COc1cc(NC2CCN(c3cc(O)ncn3)CC2)cc(OC)c1,3.902483403,train
COc1cccc(CNC(=O)N2CCCC(c3ccnn3C)C2)c1OC,4.3014934,train
Cc1cnn(CCC(=O)N2CCCN(C(=O)c3ccc(Cl)cc3)CC2)c1,3.988112035,train
CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,4.939769743,train
CC(C)(C)CCN1CCN(C(=O)c2nnc3ccccc3n2)CC1,3.7787182,train
Cc1cc(F)ccc1[C@H](C)n1cc(C(C)(O)Cc2ccccc2)nn1,4.575785995,train
O=C(c1ocnc1C(F)(F)F)N1CCN(CCc2ccccc2)CC1,4.532279585,train
COc1cccc(S(=O)(=O)N2CCN(C)CC2c2ccccc2)c1,4.839729637,train
O=C(NCCN1C(=O)CNC1=O)N1CCc2[nH]c3ccc(F)cc3c2C1,3.91618854,train
Cc1cccc(N2CCN(C(=O)c3cccc(OCC(N)=O)c3)CC2)c1,4.422668727,train
Cc1oc(-c2ccccc2)cc1C(=O)N1CCC(n2ccnn2)CC1,4.81930473,val
Cc1cnc(-c2noc(C3CC3c3ccc4c(c3)OCCO4)n2)nc1,4.248697972,train
O=C(c1cc(-c2ccncc2)on1)N1CCC(CCO)CC1,5.02605462,train
Cn1c(=O)[nH]c(=O)c2[nH]c(CCC(=O)NC3c4ccccc4CC3O)nc21,2.842445043,train
Cc1nccnc1N1CCN(C(=O)C2CCc3cccnc32)CC1,3.566130447,train
O=C(C1CC1)N1CCCN(c2cccc(C(F)(F)F)n2)CC1,4.797539432,train
CC(C)(C(=O)N1CCN(c2cc(C3CC3)n[nH]2)CC1)c1ccc(F)cc1,4.633100738,val
CCC1(O)CCN(S(=O)(=O)c2ccc(C#N)c(Cl)c2)CC1,4.002191877,train
CC(C)c1nccn1Cc1cccc(NC(=O)NC2CC3CCCC(C2)N3C)c1,3.731912458,train
O=C(Cn1c(=O)[nH]c(=O)c2ccccc21)Nc1cccc(N2CCCNC2=O)c1,2.152170485,train
NC(=O)C1CCCC(NC(=O)Cc2ccc3c(c2)CCCC3)C1,2.54174885,train
Cn1c(C(=O)N2CCCC(S(C)(=O)=O)C2)c(Cl)c2ccccc21,4.702829963,train
O=C(N[C@@H]1CCc2cc(Cl)ccc21)c1c[nH]nc1C1CCCNC1,3.812474378,train
COc1ccccc1N1CCC(NC(=O)NCc2ccc(C(N)=O)cc2)C1=O,4.524396023,train
C[C@H]1CN(C2CCOCC2)CCN1C(=O)c1cc(-c2cccs2)on1,4.553783193,train
Cn1nc(C2CCCCC2)cc1NS(=O)(=O)CCc1ccccc1,4.699023575,train
Cc1ccc(-c2c[nH]cc2C(=O)NCC2(N3CCOCC3)CCCCC2)s1,4.663656533,train
Cc1cc(NC(=O)NCc2cccc(C3(C)NC(=O)NC3=O)c2)ccc1-c1ccncc1,5.681304782,val
Cc1cc(N2CCN(C(=O)NCCc3ccco3)CC2)nc(C(C)C)n1,4.124070503,train
Cn1ncc2c1CC(C)(C)CN(C(=O)NCc1ccc(Br)s1)C2,4.670985508,train
O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CC(Oc2ccccc2)C1,4.860595378,train
Cc1cc(C)nc(-c2noc(C(CC(C)C)N3CCCCC3=O)n2)c1,4.19545985,train
N#Cc1ccc(F)c(NC(=O)C2CC(=O)N(c3ccccc3)C2)c1,4.75091876,val
Cc1ncn(-c2ccc(NC(=O)c3cn(CCC(C)C)nn3)cc2)c1C,4.953367812,train
NC(=O)C1CN(C(=O)NCc2ccccc2Cn2cccn2)C1,2.57356297,train
O=C(Cc1cnn(Cc2ccccc2)c1)Nc1ncc(C2CCCCC2)cn1,4.940910657,train
CCC1(O)CCC(NC(=O)Nc2ccc(Oc3ccccc3C(N)=O)cc2)CC1,3.6224939,train
COc1cccc(CC(=O)Nc2ccc(-n3cnc(C)c3C)cc2)n1,4.34240414,val
COc1ccc2c(c1)OCCN(C(=O)Nc1ncc(C)s1)C2,4.934191203,train
CCC(C)n1ccc(NC(=O)Cc2cnn(Cc3ccccc3)c2)n1,4.363811735,val
O=C1CCc2cc(-c3cccc(O)c3F)cc3c2N1CCC3,5.343503555,train
CCOC(=O)Nc1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1,4.671211872,train
Cc1ccc(NC(=O)N2CCN(c3cnccn3)CC2)cc1OCC(F)F,4.69958671,val
CN(Cc1ccccc1)C(=O)N1CCC(Oc2ncccc2F)CC1,5.445564713,train
C[C@H](NC(=O)Cc1cnn(-c2ccccc2)n1)c1ccc(C(F)(F)F)nc1,4.971353563,train
CC12CC(CN1C(=O)NCc1ccccc1-c1ccc(Cn3cccn3)cc1)C2,5.415779555,train
CC(C)N1CCC(NS(=O)(=O)c2cnn3ncccc23)C1=O,3.777510063,val
CC1C(=O)N(CCc2cccc(C(F)(F)F)n2)C(=O)N1C1CCC1,3.959468865,train
CC1CN(C(=O)c2ccc(NCc3nnc4n(C)c(=O)c5ccccc5n34)cc2)CC(C)O1,4.230006555,val
O=S(=O)(Nc1ccn(-c2ncccc2F)n1)c1ccc(OC(F)(F)F)cc1,5.409439815,val
O=S(=O)(c1ccccc1F)N1CC(Oc2ccccc2Cl)C1,6.087979192,train
Cc1nnc(NC(=O)Cc2cc(-c3ccccc3)on2)s1,5.05363151,val
COCCOc1ccc(Cl)cc1S(=O)(=O)NC(=O)c1csc(C)c1,4.496250013,train
NC(=O)C1(c2ccccc2)CCN(Cc2nc(Cc3cccc(F)c3)no2)C1,4.21996418,val
Cc1[nH]c2ccccc2c1C1=CCN(C(=O)Nc2cc(C)c3cn[nH]c3c2)CC1,5.901771727,train
Cn1c(SCC(=O)NCc2cccc(C#N)c2)nnc1-c1ccccc1Cl,4.266663793,train
Cc1nn(-c2ccc(Cl)cc2Cl)c(C)c1CC(=O)N1CC(CO)c2ccccc21,5.283653068,val
O=c1c2sc3ncccc3c2ncn1Cc1ncoc1C1CCC1,4.212859635,train
c1cc(OCC2CC2)ncc1-c1noc(C23CCCN(CCC2)C3)n1,3.820606745,train
CCn1cc(NC(=O)Cc2ccc(C)c(Cl)c2)c(C(N)=O)n1,4.647186257,train
CN1CCN(c2ccc(NC(=O)C3CC3c3ccccc3Cl)cn2)CC1,4.278445673,train
O=C1Cc2cc(NS(=O)(=O)c3cccc(-c4ccccc4)c3)ccc2N1,5.852564907,train
Cc1ccc2c(c1)C1CN(C)CCC1N2C(=O)c1cncc(-c2ccc3c(c2)CCO3)c1,4.652421682,train
Cc1sc(C(C)NC(=O)CC2(C(=O)[O-])CCC2)nc1-c1ccc(Cl)cc1,5.051511395,train
CN1C(=O)CCc2cc(NC(=O)c3cccc(-c4noc(C(F)(F)F)n4)c3)ccc21,4.63313349,train
CC(C(=O)N(C)Cc1cccc(-c2nn[nH]n2)c1)c1cccc(O)c1,4.836496233,train
CNc1ccc(C(=O)NC(C)c2cccc(N3CCCC3)c2)c(Cl)c1,5.648088162,train
CN(C)C(=O)c1ccc(NC(=O)c2cnn3ccccc23)cc1Cl,4.481545455,train
CNc1ccc(C(=O)NCCc2c(C)[nH]c3ccccc23)nc1,5.554866537,train
COCCC1(CNC(=O)Nc2ccc(-n3ccnn3)cc2)CC1,4.753069685,train
O=C(NC1CCN(c2cccc(Cl)c2)C1)c1cnn2cccnc12,5.276880095,train
CC(C1Cc2ccccc2O1)N(C)C(=O)Nc1ccncc1,6.100596402,train
COCCn1cc(C(=O)Nc2ccc(N3CCN(C)CC3)nc2)c2ccccc21,4.700835203,train
Cc1nn(Cc2ccccc2Cl)c(C)c1C(=O)Nc1cccc(-c2noc(=O)[nH]2)c1,4.709497835,train
O=C(NCc1ccc(-n2cnc3ccccc32)cc1)NC(CO)Cc1ccc(F)cc1,5.205219553,val
Cc1nc(-c2ccc(NC(=O)N3CC[C@@H](F)C3)cc2)cs1,4.065893427,train
O=C(NCc1cccc2[nH]ccc12)Nc1cccc(N2CCCC2)c1,5.421519808,train
O=C1NCCN(C(=O)CC2OCCc3ccccc32)C1c1ccccc1,3.111307417,train
COc1ccc(S(=O)(=O)N2CCCCC2)cc1NC(=O)NCc1c(C)nc2ccccn12,4.724725225,train
CC1CN(C(=O)Cc2c[nH]c3ncccc23)c2ccccc2O1,5.03388115,train
N#Cc1ccccc1-c1ccc(C(=O)N2CCSCC2)cc1,4.633437475,train
CCCOc1ccc2[nH]cc(CCNC(=O)c3cncc4[nH]ccc34)c2c1,5.051713033,train
CN(C)c1nc2sc(C(=O)N3CCc4[nH]ncc4C3)cc2s1,4.70377319,train
O=C1C(N2CCN(CCc3ccc4c(c3)CCO4)CC2)CCN1c1ccccc1,3.615360835,train
Cc1nc2c(C(=O)N3C[C@H]4COC[C@@]4(c4ccccc4)C3)ccnc2[nH]1,4.763958335,train
COc1cc(Br)ccc1NC(=O)C(C)c1cn(C)c2ccccc12,5.620413737,train
CSc1cncc(C(=O)NC2CCCc3c2cnn3Cc2ccccc2)n1,4.947919975,val
COC(=O)c1c(COc2ccc(C3CC3)cc2Cl)nn2c1CCCC2,5.586979483,train
c1nc(N2CC(c3ncc(C4CC4)cn3)C2)c2cc[nH]c2n1,3.993005258,train
COc1ccc2c(c1)N(C(=O)C1CC(=O)N(c3ccc(F)c([N+](=O)[O-])c3)C1)CCCC2,4.891473783,val
COc1ccc(C(=O)NC(CNS(=O)(=O)c2cnn(C)c2)c2ccccc2)cc1Cl,4.756405192,train
COC(=O)c1c(CNS(=O)(=O)c2ccc(F)c(C(=O)N3CCCC3)c2)nn2c1CCCC2,4.402859193,train
COc1ccc(CC2CCN(C(=O)Cn3cccn3)CC2)cc1,3.775382437,train
Cc1cc(C)c(NC(=O)CN2CCN(c3cccc(F)c3)CC2)c(C)c1,4.532056638,train
COC(=O)N(C)c1ccc(NC(=O)c2ccn(-c3cccc(OC)c3)n2)cc1,4.843914723,train
O=C1OCCN1c1cccc(C(=O)N2CC3(CCCC3)c3c(F)cccc32)c1,4.28623547,train
C=CCN1CCC(n2cnc3c(sc4ncccc43)c2=O)C1=O,3.567687048,train
Cc1c(CNS(=O)(=O)Cc2ccc(Br)c(F)c2)noc1-c1ccccc1,6.098826235,train
CCOc1nc(C)ccc1C(=O)NCc1noc(-c2ccccc2)c1C,5.398325397,train
O=C(Nc1cc2c3c(c1)CCC(=O)N3CCC2)c1ccco1,3.926823972,train
Cc1nn(-c2ccccc2)cc1NC(=O)c1cc2c(C(F)(F)F)cc(=O)[nH]c2o1,5.14778744,train
CS(=O)(=O)Nc1ccc(-c2csc(Nc3ccc(Cn4cncn4)cc3)n2)cc1,5.82478148,train
CN(C)c1n[nH]c(NC(=O)c2cc3cc(C(F)(F)F)ccc3n2C)n1,3.428663297,train
CN1CCCC(O)(CC(=O)N2CCCC(c3c[nH]c4ncccc34)C2)C1,5.02196162,train
COc1ccccc1-c1ccc(C(=O)N2CCCNC(=O)[C@@H]2C)s1,4.827437525,train
Cc1ccc2nc(CNc3ccc(CCC(C)C)cc3)cc(=O)n2c1,4.297972452,train
Cc1n[nH]c(C(=O)N2CC(O)(c3ccccc3F)C2)c1O,3.69496527,train
COC[C@@H](NC(=O)c1c[nH]nc1-c1cccc(Cl)c1)c1cccnc1,4.018752065,train
Cc1ccc2nc(COC(=O)C(O)c3cc(Cl)cc(Cl)c3)cc(=O)n2c1,4.83479045,train
O=C(NCc1ccc(-c2ccncc2)cc1)NCc1ccc(-n2cccn2)cc1,4.67125837,train
CC(=O)Nc1ccc(C(=O)N2CCN(C(=O)c3ccc(F)cc3)CC2)s1,3.088512475,train
Cc1conc1NC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12,6.342312325,train
O=C(c1cccc(Br)c1)N1CCN(c2ccc(Cl)cn2)CC1,5.632948973,train
O=C(C(O)c1cccc(C(F)(F)F)c1)N1CCc2ccccc2CC1,4.911212687,train
C=CCSc1ccccc1NC(=O)C(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,4.681246973,train
Cc1cnn(C2CCN(S(=O)(=O)c3cccc(CC#N)c3)CC2)c1,5.00488912,train
O=C(NCc1nc2ccccc2s1)C(O)c1cc(Cl)cc(Cl)c1,5.3059122,val
CC(C)(NC(N)=O)c1cn(Cc2nc(-c3c(F)cccc3F)cs2)nn1,4.160295888,train
O=C(Cn1ccc(C(F)(F)F)n1)N1CCC(n2c(=O)oc3ccccc32)C1,4.36371063,train
Cn1nccc1CNC(=O)C1CCCN1C(=O)Cc1ccc2ccccc2c1,3.889560353,train
COc1ccc2[nH]c(C(=O)NC[C@@H]3C[C@H](OC)CN3c3ccncn3)cc2c1,5.822423482,train
Cc1c(S(=O)(=O)Nc2cc(C)n(C3CCCCC3)n2)cnn1C,3.610731705,train
CC(O)Cc1cn(C2CCC(NC(=O)c3cnn(C)c3Cc3ccccc3)CC2)nn1,3.01922477,train
O=C(NCC1CN(C2CC2)C(=O)O1)c1cc(-c2ccncc2)nc2ccccc12,4.871511415,train
Cc1cc(=O)n2nc(N3CCC(Oc4cnccn4)CC3)sc2n1,4.37488172,train
CS(=O)(=O)NCC1COCCN1C(=O)c1ccc(Oc2ccccc2)cc1,3.661552883,train
C[C@H]1CN(C)c2ccccc2CN1C(=O)Nc1ccc(F)cc1N1CCOCC1,4.441652063,train
O=C(NCc1ccc(-c2nnn[nH]2)cc1)C1CCCN1C(=O)Cc1cccs1,4.823999748,train
Cn1cc(C(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)c(-c2coc3ccccc23)n1,5.173976338,train
CC(C)NC(=O)Nc1cccc(C(=O)NC(c2ccccc2)c2nnc[nH]2)c1,4.497818115,train
Cc1ccc(CNC(=O)N2CCN(c3ncnc4ccsc34)CC2)s1,5.016338057,val
COc1ccc(CCn2nnnc2N2CCCC2)cc1F,4.1164149,val
Cn1cc(C2CCN(C(=O)c3cn[nH]c3Cc3ccccc3)CC2)cn1,3.963667168,train
CC1COc2ccccc2CN1C(=O)c1ccnc(-n2ccnc2)c1,5.860867745,train
Cn1cnc(-c2cccc(NC(=O)c3cccc(OCC(F)F)n3)c2)n1,4.599812188,train
Cc1cc2cc(CNC(=O)CNC(=O)c3ccco3)ccc2[nH]1,4.299749357,train
O=C1CC(C(=O)N[C@@H]2CCCc3ccc(F)cc32)c2ccc(F)cc2N1,3.993795637,train
O=C(Nc1n[nH]c2c(Cl)cccc12)C1CCN(CC(F)F)CC1,3.718629245,train
CC1(C)CN(S(=O)(=O)CCC2CCCC2)C1c1ccncc1,5.32677768,train
CC(NC(=O)Cc1ccc2[nH]ncc2c1)c1cc2cc(F)ccc2o1,6.112180515,train
CC(F)(F)c1ccccc1NC(=O)NC(C)(C)c1nc2ccccc2s1,5.563282045,train
O=C1NCCC1CCn1cc(-c2ccc3cnccc3c2)nn1,4.376080668,train
Cc1c(NC(=O)C2CC(=O)Nc3cc(F)ccc32)sc2c1CCCC2,4.891483887,train
CCc1ccc(N2CC(C(=O)NCc3cccnc3-n3ccnc3)CC2=O)cc1,5.010029225,train
CCCOc1cccc(CCNC(=O)N2C3CCC2CC2(C3)CC2(F)F)c1,4.885998127,train
O=C(c1cnc2c(c1)CCS(=O)(=O)C2)N1C[C@H]2COC[C@@]2(c2ccccc2)C1,4.274925795,train
CC(C)(c1noc(C2(c3ccccc3)CC2)n1)S(C)(=O)=O,3.838267275,train
CC(C)(C)n1cc(C(=O)Nc2cccc3c2C(=O)NC3)nn1,4.562186845,train
COc1ccc(-c2[nH]c3ccccc3c2CCC(=O)NS(=O)(=O)c2cccs2)cc1,5.42706087,train
COc1ncc(C)cc1NC(=O)c1ccc(N2CCC(C)CC2)nc1,4.813165022,train
Cn1nc(CC(=O)NCc2ccnc(-n3ccnc3)c2)c2ccccc2c1=O,4.486457515,val
CCC1(C(=O)NCc2ccc3occc3c2)CCN(C(=O)c2ccccc2)CC1,5.32258185,train
O=C(NC1CCN(c2ccccc2)C1)c1cnn(Cc2ccccc2)c1,5.073080528,train
CC(=O)NC(C)c1nc(C(C)Oc2ccc(Br)cc2Cl)no1,4.427168987,train
Cn1nccc1C(=O)NCCCc1nc2c(s1)CCCC2,4.15847907,train
COc1ccc(N2CCN(C(=O)c3cc(C)oc3C)CC2)nc1,4.071066123,train
Cc1nc(CNC(=O)NC2CCCCc3cc(Br)ccc32)no1,4.426072795,train
Cc1ccccc1C1CN(C(=O)C2Cc3c(O)cccc3N2)CCO1,5.203446205,train
COc1cccc(C(=O)NCC(=O)NC2CC(C)(C)Oc3ccccc32)c1,4.304121037,train
Cn1cc(C(=O)NCCc2ccn(-c3ccc(F)cc3)n2)c(C(F)F)n1,4.50841709,train
O=C(CCC1CCNCC1)Nc1ccc(-n2nnc3ccccc32)cc1,4.277898848,train
COc1ccccc1NCC(=O)N1CCN(C)c2ccccc2C1,4.607570447,val
Cc1cc(F)c(S(=O)(=O)Nc2cnn(C3CCCC3)c2C)cc1F,5.451195148,val
CC1CCc2ccccc2N1C(=O)COc1ccc2c(c1)NC(=O)CC2,4.393364195,train
CC(C)(NC(=O)CC1CCC(F)(F)CC1)c1nc2ccccc2s1,5.66511761,train
CC(C)n1nccc1C(=O)NCC1CCOc2ccccc21,4.167401557,train
O=C(c1cc2c(s1)-c1ccccc1CC2)N1CCCCC1c1ncon1,5.400428583,train
NC(=O)C(Cc1ccc(Cl)cc1)NC(=O)C1CCN(c2ccccc2F)C1,4.898742047,train
O=C(CN1CCN(c2ccccn2)CC1)Nc1cccc(N2CCCCC2=O)c1,3.694519695,train
O=C1CCCC(CC(=O)N2CCN(C(=O)c3ccc(Cl)cc3F)CC2)N1,2.572745283,train
Cc1ccc(CC(C)C(=O)NC2CCN(C(=O)c3ccncc3)CC2)cc1,5.711140555,train
NC(=O)c1ccc(CNC(=O)N2CCCC(OCC3CC3)C2)cc1,3.61018508,train
CCc1cc(C(=O)N2CCC(COc3ccccc3)CC2)[nH]n1,4.982965595,train
