canonical_smiles,CYP2D6_pIC50_direct_inhibition,chemprop_split
Cn1cc(OC2CN(c3cc(Br)cc(F)c3C#N)C2)cn1,4.561984723,train
O=c1c2cncn2c2ccccc2n1CC1C2CCCCCC21,3.385210702,train
O=C(NCc1ccc(-n2ccnc2)nc1)NC1COc2ccccc21,5.012302395,train
CCN1CCOC(C(=O)Nc2cccc(C(=O)Nc3ccncc3)c2)C1,4.37545704,train
CC(C)C1(O)CCC(NCc2ccccc2N2CCN(C)CC2)CC1,4.701132065,val
c1ccc2oc(C3CCCCN3Cc3nnc4n3CCCCC4)nc2c1,4.533113725,train
Cn1cncc1[C@@H]1C[C@H]1C(=O)Nc1c[nH]c2ccccc12,4.679070262,train
CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,5.612441365,val
Cc1c(Cl)ccc2ccc(N3CCCC(c4ccn[nH]4)C3)nc12,2.079459163,train
COc1ccc(S(=O)(=O)N2CCCCCC2)cc1NS(=O)(=O)c1ccc2c(c1)OCO2,2.025409553,train
COc1ccc(Cl)c2c1CCCC2NCc1nnc(C(C)C)[nH]1,4.795514462,val
O=C(Cn1cc(-c2cncc(F)c2)nn1)N1CC2CCCCC21c1ccccc1,5.157251315,train
NC(=O)c1ccc(C(=O)N2CC3(CCCC3)c3cccc(Cl)c32)s1,3.826484278,train
O=C(Nc1ccc(-c2cncnc2)cc1)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F,4.740541735,train
CCn1c(=O)n(CC(=O)NCc2ccc(-n3ccnc3)nc2)c2ccccc21,4.55688638,val
Cc1nn(C(C)C)c(C)c1CN1CCC(C(O)c2nccn2C)CC1,4.29210171,train
COc1ccc(-c2cn(Cc3cc(O)n4nccc4n3)nn2)cc1Cl,4.33835974,train
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2cnc(C)c2C)cc1,4.223028345,train
Cc1cc(N2CCC(Oc3cnccn3)CC2)nc(-c2cccc([N+](=O)[O-])c2)n1,4.945531675,val
N#CC(c1ccccc1)C1CCCN1C(=O)Nc1ccc2c(c1)SCC(=O)N2,4.45826283,train
CNS(=O)(=O)c1ccc(CCNC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,4.678832895,train
COCc1ccccc1C(=O)NC1CCN(C(=O)c2ccccc2)CC1,4.343477857,train
O=C(NCc1nnnn1-c1ccccc1)Nc1ccc(OC(F)(F)F)cc1,4.683762397,train
CC(C)c1nccc(N2CCC(CO)(Cc3ccc(F)cc3)C2)n1,4.618252147,train
O=C(COc1ccc(Cl)cc1)NC1CCC(NC2CCN(CC(F)(F)F)C2)CC1,4.82836169,train
Cc1cccc(C(C)NC(=O)c2cc(-c3ccccc3O)[nH]n2)c1C,2.000956098,train
CNS(=O)(=O)c1ccc(C(C)Nc2cnn(-c3ccccc3)c2C)cc1,4.904511807,val
CNc1ccccc1CNC1CCN(c2cccnn2)CC1,5.8092887,train
Cc1ccc(-n2nnc(C(=O)Nc3cccnc3C3CC3)c2C)cc1,4.282659655,train
CC(O)(CNC1CCN(C(=O)c2cc(Cl)c[nH]2)CC1)C(F)F,4.808035037,train
O=C(NCC1CCN(c2cccc(Br)c2)C1)c1c[nH]c2ncccc12,3.131869342,val
CC(C)(C)c1nc2cc(NCC(C)(O)C(F)F)ccc2o1,3.92076868,train
CC(NCC(C)(O)c1ccccc1)c1cccc(-n2ccnc2)c1,5.777608648,train
CC(C)(C)C(O)Cc1cn(-c2ccc3c(c2)OCO3)nn1,2.445397223,train
O=C(NCc1cccc(Cn2ccnc2)c1)c1cn2ccccc2n1,4.815805045,train
CN1CCc2cc(NC(=O)CC3CCc4ccccc43)ccc2C1=O,4.672973843,train
Cc1nnc(-c2ccccc2C(=O)N(C)C2CCc3ccccc3C2)o1,4.387594248,train
COc1ccc(C(C)NC(=O)N2CCCCCC2c2ccncc2)cc1F,4.738641598,train
FC(F)(F)c1ccc(CCNc2ccn(-c3ncccn3)n2)cc1,4.397846657,train
Cn1cncc1-c1cn(CC(O)Cc2cccc(F)c2)nn1,6.056284738,train
CC(NC(=O)N1CCC(Cc2ccccc2)CC1)c1cn[nH]c1,5.561224163,train
CC1(NC(=O)c2cccc(Nc3nccs3)c2)CC(F)(F)C1,2.045151022,train
Cc1c(CNC(=O)c2cccc(-n3cnnn3)c2)oc2ccc(F)cc12,2.196784495,train
CCc1ccc2c(c1)CCN2C(=O)Nc1cn(C)nc1C(F)(F)F,2.70724508,val
Cc1c(NS(=O)(=O)c2ccc3c(c2)CC(=O)N3)cccc1-c1ncco1,4.59730531,val
Cc1ccc(C(C)N(C)C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)cc1,5.032580607,train
Cc1c[nH]c(=O)c(CNC(=O)NC(c2ccccc2)C2CCCC2)c1,3.763564688,train
CCCc1cc(C(=O)NC[C@]23CNC[C@@]2(C(F)(F)F)C3)[nH]n1,5.201062245,val
O=C(COC1CCCCC1)NCC1CCN(CCc2ccccc2)C1,4.671842395,train
O=C(NC(c1ccccc1)c1ccc2[nH]cnc2c1)C1CCN(c2ccccc2F)C1,2.220852298,train
Cn1c(=O)oc2c(C(=O)N[C@H]3c4ccccc4CC[C@H]3O)cccc21,5.679755865,train
Cc1ccc(C)c(-n2c(C)nnc2SCC(=O)NCCCn2cccn2)c1,4.621541817,train
Cc1cc2c(cc1C)C(C(=O)NCc1nnc3n1CCC(C(F)(F)F)C3)CO2,4.60538449,val
Cc1noc(C)c1C(C)c1nc(CCCOc2cccc3ccccc23)no1,4.35484073,train
N#Cc1c(C2CC2)n[nH]c1NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2,1.963048488,train
Cc1cccc(NC(=O)C2CCCN(Cc3csnn3)C2)n1,4.351744877,val
COc1ccccc1[C@H](O)CNC1CCc2cc(F)c(Cl)cc21,6.39092459,train
O=C(c1cccs1)N1CCC(CCN2CCOCC2)CC1,4.30954278,val
Cc1cc(NC(=O)N2CCCCC2c2cn[nH]c2)nn1-c1ccccc1,4.500912945,train
CC(C(=O)NCC(F)(F)F)N1CCC(Cc2ccccc2)C1,5.30771717,val
CC(C)(C)c1ccccc1C(=O)N1CCC(Cn2ccnn2)CC1,4.517965167,train
CCN(C(=O)Cc1cnn(C)c1)C1CCN(C(C)c2ccccc2)C1,5.497688715,train
O=C(CNC(=O)c1cccs1)NCc1ccccc1-n1ccnc1,4.574240568,train
CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,4.146567835,train
COc1ccc2oc(C)c(C(=O)NCC3(N(C)C)Cc4ccccc4C3)c2c1,6.527767573,train
CNC(=O)C(CNC(=O)Nc1ccc(Cl)cc1)Cc1ccc(C(F)(F)F)cc1,2.218895237,train
COc1cccc(S(=O)(=O)N2CCN(C)CC2c2ccccc2)c1,5.034287603,train
O=C(c1cc(-c2ccncc2)on1)N1CCC(CCO)CC1,4.53308634,train
COc1cc(C)sc1C(=O)N1CCC2C(CCCN2C)C1,6.03976059,train
O=S(=O)(Nc1ccc(-n2cccn2)cc1)c1ccc(Cl)cc1,2.055729005,val
Cc1cnccc1CCN1CCN(c2ncnc3c2cnn3C)CC1,4.820187105,train
O=C(NCc1cccc(O)c1)c1sc2ccccc2c1Cl,5.322218073,train
O=C(NCC1CCN(c2ccc(F)c(F)c2)C1)c1ccc(-n2cnnn2)cc1,5.05666323,train
Cc1cccc(OC(C)C(=O)N2CCCC2c2ncc[nH]2)c1,4.4642586,train
CC(C)(C(=O)N1CCN(c2cc(C3CC3)n[nH]2)CC1)c1ccc(F)cc1,5.004099337,val
O=C(NCC1C2Cc3ccccc3C12)c1cc2c(F)cccc2[nH]1,5.669179068,train
CCOC1CC(CNc2nc3cccc(F)c3n2C)(N2CCOCC2)C1,4.887505255,train
Cc1ccc(-c2c[nH]cc2C(=O)NCC2(N3CCOCC3)CCCCC2)s1,5.412311752,train
Cc1cc(NC(=O)NCc2cccc(C3(C)NC(=O)NC3=O)c2)ccc1-c1ccncc1,5.279088677,val
CCc1cnccc1NC(=O)C1(c2ccccc2)CC1(C)C,4.49137587,train
COc1ccc(C)cc1S(=O)(=O)N1CCN(C2CCOCC2)C[C@H]1C,5.00270215,train
Nc1ccc(CC2CCN(C(=O)CCc3ccccc3F)CC2)cn1,4.15024103,train
Cn1cc(CC2CN(C(=O)[C@@H]3CCCO[C@H]3c3ccccc3)C2)cn1,4.354577762,train
FC(F)(F)Cn1c(-c2ccccc2)cnc1SCc1nccs1,4.479350962,val
COc1ccc(C(CNC(=O)[C@@H]2C[C@H]2C(F)(F)F)c2c[nH]c3ccccc23)cc1,4.5833125,train
O=C(c1coc2ccccc12)N1CCN(Cc2nccn2C(F)F)CC1,4.361858233,train
Cc1ccccc1C(O)Cn1cc(CN2CCCC2)nn1,4.272804338,val
Cc1sc2nc(-c3cccnc3)nc(N3CCC(S(N)(=O)=O)C3)c2c1C,4.231383845,train
CC(C)CCc1ccc(NCc2csc(-c3cnn(C)c3)n2)nc1,4.78945537,train
COc1ccc(CCNC(=O)N2CCC[C@H]2CN2CCOCC2)cc1F,4.284685697,val
CC1CNCC(Cn2cc(-c3cccc(NCc4cccs4)c3)nn2)C1,4.303172358,train
CCSC1(C(=O)NC2Cc3ccc(Br)cc3NC2=O)CC1,4.396423975,train
Cc1nc2cc(N(C)C(=O)c3cc(-c4ccc(Cl)cc4)nn3CC3CC3)ccc2[nH]1,2.394134305,train
CC(C)Oc1cncc(C(=O)N2CCCC(c3ncc[nH]3)C2)c1,4.458210463,train
CC(C)n1ncc2cc(S(=O)(=O)N3CCN(C)CC3c3ccccc3)ccc21,4.673651312,train
COc1cc(F)c(NC(=O)N2CCOC(C)(c3ccccc3)C2)cc1F,4.437077415,train
CS(=O)(=O)N1CCc2c(NC(=O)NC3CC4CC4C3)cccc21,4.77270833,train
O=C(Cc1csc(-c2ccc3c(c2)OCO3)n1)NC1CCc2[nH]ncc2C1,4.341911315,train
O=C1CCc2cc(-c3cccc(O)c3F)cc3c2N1CCC3,3.393216993,train
Cc1cc(NC(=O)C(c2ccccc2)N(C)CCCn2ccnc2)no1,4.911090125,train
Cc1ccc(NC(=O)N2CCN(c3cnccn3)CC2)cc1OCC(F)F,4.763546113,val
Cc1ccc(CN(C(=O)c2ncc(F)cn2)C(C)C)cc1,4.418213612,train
COc1ccc2c(c1)CCN(c1nc(C)nc3c1CCNCC3)C2,5.380498507,train
CC12CC(CN1C(=O)NCc1ccccc1-c1ccc(Cn3cccn3)cc1)C2,4.434372137,train
Cc1ccc(C(=O)Nc2ccc3ccn(CCN(C)C)c3c2)cc1,4.462573875,train
COc1cc(OC)c(CNC[C@H]2CC[C@@H](c3ncn[nH]3)O2)cc1F,5.617211242,train
CC#CCCN1CCC(Cc2nc(-c3ccc(F)cn3)no2)CC1,4.969772243,train
CC1(C(=O)N2CC(C(C)(F)F)C2)CCN(c2ccc(Cl)cc2C#N)CC1,4.34909046,train
COc1ccccc1CC1CCCN1C(=O)Cc1cnn2ccccc12,3.852292495,train
COC1CCCN(CC(=O)Nc2ccccc2C(C)C)CC1,5.067188322,train
CN(CCCNC(=O)C(C)(C)S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,4.379761063,train
N#Cc1ccc(N2CCC(C(=O)NC3(c4ccc(F)c(Cl)c4)CC3)CC2)nc1,4.681517073,train
O=S(=O)(Nc1ccn(-c2ncccc2F)n1)c1ccc(OC(F)(F)F)cc1,4.276122025,val
CCn1nnc2c(NC[C@]3(CO)COC[C@@H](C)N3)ncnc21,5.54515675,train
Cc1[nH]c2ccccc2c1C1=CCN(C(=O)Nc2cc(C)c3cn[nH]c3c2)CC1,4.98585667,train
Cc1nn(-c2ccc(Cl)cc2Cl)c(C)c1CC(=O)N1CC(CO)c2ccccc21,4.624523775,val
COc1ccc(C2CC(C)N(CC(=O)NCC(F)(F)F)C2)cc1,4.56322221,train
Cc1ccc2nc(NC(=O)c3cccn3Cc3ccncc3)sc2c1,2.102724975,train
O=C(c1cccc(Nc2ccccc2)c1)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,5.028736595,train
Cc1ccc(NC(=O)C2CCCN(CC(F)(F)F)C2)cc1-n1cnnn1,4.456160227,train
COC(=O)c1cccc(NC(=O)CN2C(=O)NC(Cc3ccccc3)(c3ccccc3)C2=O)c1,3.26384948,train
O=C(NCc1ccccc1)C1CCN(CC2CC(F)(F)C2)C1,4.890540237,train
O=C(Cc1cc(Cl)c2c(c1)OCCO2)Nc1cnccc1-c1ccccc1,4.526403688,val
O=C(NC[C@H]1CCCCN1)c1sccc1S(=O)(=O)N1CCc2ccccc21,4.638122052,train
O=C1Cc2cc(NS(=O)(=O)c3cccc(-c4ccccc4)c3)ccc2N1,4.978560573,train
Cc1ccc2c(c1)C1CN(C)CCC1N2C(=O)c1cncc(-c2ccc3c(c2)CCO3)c1,4.851135392,train
NC1=Nc2nc3cc4c(cc3n2C(c2cccc(OCc3ccc(F)cc3F)c2)N1)OCCCO4,5.17905231,train
Cn1ncc(CNC2Cc3ccccc3NC2=O)c1C1CC1,4.395583258,val
Cc1cccnc1NCc1nc(C(F)(F)F)n2c1CCCC2,5.23549608,train
Cc1ccc2[nH]c3c(c2c1)CC(Nc1nc(C)ns1)CC3,4.817660003,train
Fc1ccc(CNC2(c3nccc(C(F)(F)F)n3)CC2)cc1,5.005770848,train
COCCC1(CNC(=O)Nc2ccc(-n3ccnn3)cc2)CC1,4.77042854,train
Cc1cnc(N2CCCC3c4ncn(C)c4CCC32)nc1,4.965197052,train
CC(C1Cc2ccccc2O1)N(C)C(=O)Nc1ccncc1,5.471543947,train
O=C(Nc1ccc(OCCN2CCCCC2)cc1)c1cccc(Cn2ccnc2)c1,4.636173695,train
CC1(C)OCC(CNC(=O)c2ccccc2SCC(=O)Nc2ccc3c(c2)OCO3)O1,4.437198148,train
O=C(Nc1ccc(SCCN2CCCC2)cc1)c1cccc(Cn2ccnc2)c1,6.220280083,train
CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cn1nnc2ccccc21,4.750066065,val
CN1C(=O)CCCC1C(=O)Nc1ccc(Oc2ccncc2)c(Cl)c1,5.25134928,train
CC1CN(C(=O)Cc2c[nH]c3ncccc23)c2ccccc2O1,5.033517508,train
Cc1ccc2c(c1)CC(C(=O)Nc1ncc(Cl)cc1O)S2(=O)=O,4.329587508,train
N#Cc1ccccc1-c1ccc(C(=O)N2CCSCC2)cc1,4.642903758,train
Cn1ncc(C(=O)NCCn2cccc2)c1-n1cccc1,4.750333077,train
CC(C)C1c2ccccc2CCN1C(=O)Nc1ccnn1C1CCC1,5.4999317,train
CCCOc1ccc2[nH]cc(CCNC(=O)c3cncc4[nH]ccc34)c2c1,4.399624023,train
O=C(Nc1cncc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,5.516911278,train
COC(=O)c1c(COc2ccc(C3CC3)cc2Cl)nn2c1CCCC2,2.04733052,train
c1nc(N2CC(c3ncc(C4CC4)cn3)C2)c2cc[nH]c2n1,4.480524932,train
NCCc1c[nH]c2c(OCc3ccccc3)cccc12,4.478287435,val
Oc1cc2c(NCCc3ccc4[nH]ccc4c3)ncnc2cc1F,4.91648705,train
CC(C)(C)c1ocnc1CN1CCCCC1C1CCCCC1O,6.112826623,val
COCc1cc(Cl)cc(S(=O)(=O)N[C@]23CCC[C@H]2CNC3)c1,4.780683557,train
Cc1cc(CN[C@@H]2CC(Cn3cccn3)C[C@H]2O)ccc1Oc1cccnc1,5.231734955,train
O=C(CCNC(=O)c1c[nH]c2ccccc12)Nc1ccc(-n2cnc3ccccc32)cc1,4.813623608,train
O=C(CN1CCc2ccc(O)cc2CC1)NC(c1ccccc1)c1nccs1,5.115861845,train
Oc1ccc2c(c1)CCN(c1nccn3nc(C(F)(F)F)cc13)CC2,3.165873505,train
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1cc(=O)oc2cc(O)ccc12,1.96021925,train
O=C(Nc1ccc(Cl)c(F)c1)N1CCc2cnccc2C1,5.727459315,train
CC[C@@H](C(=O)NCc1ccc(-c2cnco2)cc1)N(C)C,5.234369557,val
O=C(NCc1ccnc(-n2cncn2)c1)N[C@@H]1CCCc2ccccc21,4.454191563,val
N#Cc1cc(S(=O)(=O)NCCNc2cnccn2)ccc1C(F)(F)F,5.80726313,train
Cc1cc(C2CCN(S(=O)(=O)c3ccccc3-c3ccccc3)CC2)on1,6.041477758,train
CN1CCCCC(CNC(=O)c2cn(-c3cccc(Cl)c3F)nn2)C1,5.355084695,train
CNS(=O)(=O)c1csc(C(=O)Nc2ccc(Oc3ccccc3Cl)cc2)c1,4.64539815,train
N#Cc1ccccc1-c1ccc(CNCc2cn[nH]c2)cc1,5.200771175,train
Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,2.176043605,train
CS(=O)(=O)Nc1ccc(-c2csc(Nc3ccc(Cn4cncn4)cc3)n2)cc1,2.037006363,train
O=C(c1nc(NCc2ccco2)ncc1Cl)N1CCc2sccc2C1,2.51847933,train
CC(NC(=O)c1cccc2c(C#N)c[nH]c12)c1cccc(C(F)(F)F)c1,2.076707695,train
Cn1nncc1C(=O)NC1CCN(c2cccc(OC(F)(F)F)c2)C1,4.78452492,train
c1ccc(C(NCc2ccc(-n3ccnc3)cc2)c2ncc[nH]2)cc1,6.273570915,train
CCc1ccc(NC(=O)NCCCc2cccc(C(F)(F)F)c2)cc1S(N)(=O)=O,4.75309599,train
Clc1cccc2c1cc1n2CCN(Cc2nnc(-c3ccccc3)o2)C1,4.724097408,train
O=C(NCC(O)c1cccc(Cl)c1)c1c[nH]nc1-c1cccnc1,4.82825322,train
Cc1cnccc1-c1ccc(C(=O)NCC2(C#N)CCCC2)s1,5.36237939,train
CC(C)(C)n1nnc(CNc2ccc(-c3cn[nH]c3)cc2)n1,2.35053275,train
O=C(NC1(c2ccccc2Cl)CC1)c1ccc(N2CCOCC2)nc1,4.493461017,val
CCc1nnc2ccc(NC3CCc4cc(Cl)ccc43)nn12,4.303319457,train
Cc1ccc2nc(CNc3ccc(CCC(C)C)cc3)cc(=O)n2c1,5.075189547,train
NC(=O)CCOc1ccccc1NCc1c[nH]nc1-c1ccc(Br)s1,1.946780292,train
O=C(NCc1cc2ccccc2[nH]1)NCc1cccc(F)c1F,2.040247085,train
Cc1conc1NC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12,4.515868185,train
O=C(CNC(=O)c1cn(-c2ccccc2)nc1-c1cccnc1)Nc1ccc(F)cc1,3.21653553,train
O=C(Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)Nc1cccnc1,2.26047958,train
O=C(c1cccc(Br)c1)N1CCN(c2ccc(Cl)cn2)CC1,4.488517362,train
O=C(Nc1ccc(C(F)(F)F)c(F)c1)N1CCOC(c2ccsc2)C1,5.395895972,train
CC(C)(NC(N)=O)c1cn(Cc2nc(-c3c(F)cccc3F)cs2)nn1,5.481127608,train
Cc1cc(Oc2ccc(Oc3ccccc3)nc2)nc(-c2cccnc2)n1,1.996329052,train
CC1CCCCN1CCCCNc1ncnc2cccnc12,5.851700248,train
Oc1ccc2c(c1)CCC(NCc1c[nH]nc1-c1ccccc1)C2,5.449095072,train
CC1c2[nH]c3ccccc3c2CCN1C(=O)c1ccc2c(c1)C(=O)N(Cc1ccncc1)C2=O,5.550957415,train
O=C(NCc1ccc(C2CC2)cc1F)c1cc2occc2[nH]1,2.104721338,train
O=C([C@H]1CCN[C@@H](c2ccccc2)C1)N1CCCC(c2cccc(O)c2F)C1,5.0412681,train
COc1ccc2[nH]c(C(=O)NC[C@@H]3C[C@H](OC)CN3c3ccncn3)cc2c1,5.558205412,train
CN(C)C(=O)[C@@H](Cc1ccccc1)Nc1nnc(-c2ccon2)s1,4.4006855,train
Cc1nc(-c2c[nH]c(C(=O)NCc3ccc(Br)s3)c2)cs1,2.08928974,val
CN(C)Cc1nc2ccc(NC(=O)c3ccc(C4CC4(F)F)cc3)cc2[nH]1,4.91651345,train
FC(F)C1CCC(NCc2cccnc2-n2cncn2)CC1,4.59424021,train
Cc1cc(=O)n2nc(N3CCC(Oc4cnccn4)CC3)sc2n1,4.832850535,train
O=C(NCCc1nc2c(s1)CCCC2)NCc1ccc(-n2ccnc2)nc1,5.334976388,val
CC1CN(CCCNC(=O)c2ccc(F)c(C#N)c2)CC(C)O1,4.497099885,train
Cc1ccc(Br)c(S(=O)(=O)N2CCC(c3cnn(C)c3)CC2)c1,4.655835553,train
Cc1cc(NC(=O)CN2CCN(C3CCc4ccc(F)cc43)CC2)no1,5.908671838,train
Cc1cc(C(=O)NCc2ccc(-n3ccnc3)nc2)c2cnn(C(C)C)c2n1,4.807962778,train
O=C(NCC1(c2ccncc2)CCCC1)c1ccc(NC(=O)c2ccccc2)cc1,4.6058799,val
CC1COc2ccccc2CN1C(=O)c1ccnc(-n2ccnc2)c1,6.077275615,train
