Molecule_Name,inchikey,canonical_smiles
OCNT-2309179,BWWQNTFNKYNBID-UHFFFAOYSA-N,CN(C)C(=O)c1ccc(NCc2ccc(-n3ccnc3)c(F)c2)nc1
OCNT-2309196,AWUCBRVUTSPZQP-UHFFFAOYSA-N,CCc1ccc(C(=O)N2CCN(S(=O)(=O)c3ccccc3OC(F)F)CC2)cc1
OCNT-2309207,FCZNJMSICLCNRK-UHFFFAOYSA-N,CCc1ccc(NC(=O)CN2CC(=O)N(C)c3ccccc3C2)cc1
OCNT-2309232,MKUCLUPMYFFFGY-UHFFFAOYSA-N,Cn1cc(NS(=O)(=O)c2cnn(C3CCC3)c2)c(-c2ccco2)n1
OCNT-2309246,HZJAEDMXWJCPPZ-UHFFFAOYSA-N,O=C(c1cnc2ccccn12)N1CCN(C2CC2)c2ccccc21
OCNT-2309266,ORECJXVOVYEVDN-UHFFFAOYSA-N,CCS(=O)(=O)c1ccccc1CC(=O)N(C)c1ccc(C)nn1
OCNT-2309274,ZXIVUUXCTPHHAO-UHFFFAOYSA-N,COc1cccc(C2(NC(=O)NCc3c4c(nn3C)CCCC4)CCC2)c1
OCNT-2309279,TXZYYKDEFUKJEH-UHFFFAOYSA-N,CC1CN(CCNC(=O)Nc2ccnc(C(=O)N(C)C)c2)CCO1
OCNT-2309286,CKULYSVCWINHRD-UHFFFAOYSA-N,COc1ccc(C)cc1NC(=O)CNc1cccc(-n2nnnc2C)c1
OCNT-2309290,BILGZUNWWFGLCD-UHFFFAOYSA-N,COc1cccc(N2CCN(C(=O)c3cc(-c4ccccn4)no3)CC2)c1
OCNT-2309299,GAABTIDOVCUIJA-PIVQAISJSA-N,CCCC1(COC)CCCN1C(=O)N[C@@H](C)c1cccc(O)c1
OCNT-2309323,SOPSTNOHBNLMBW-UHFFFAOYSA-N,CCc1ccc2occ(C(=O)N3CCN(C(=O)Cn4cnnn4)CC3)c2c1
OCNT-2309324,QQISPTBFJAYJMO-UHFFFAOYSA-N,COc1ccccc1OC1CCCN(c2ncnc3c2cnn3C)C1
OCNT-2309338,FDGYVGAIXDSNLL-UHFFFAOYSA-N,CC(C)C(C)(NCc1cn(C(C)(C)C)nn1)c1ccc(Br)cc1
OCNT-2309345,AKNWHDZNSOSXGU-UHFFFAOYSA-N,CC(=O)N1CCCN(c2ccc3ccc(Cl)c(C)c3n2)CC1
OCNT-2309347,SCYVZKJFARRCOF-SKDRFNHKSA-N,Cc1c(F)ccc(Cl)c1C(=O)NC[C@H]1CC[C@@H](c2ncn[nH]2)O1
OCNT-2309366,NUDCKBSXSMSSHR-UHFFFAOYSA-N,CCOc1ccc(-c2nc(C)c(C(=O)N3CCc4n[nH]c(=O)cc4C3)s2)cc1
OCNT-2309376,GBUSLTPPAQKFHD-UHFFFAOYSA-N,O=C(Nc1c[nH]nc1-c1ccccc1)c1cccc(-c2ncn[nH]2)c1
OCNT-2309395,ZRPRJIZEXFJPDS-UHFFFAOYSA-N,Cc1noc(C2CCN(C(=O)Cn3ccc(C(F)(F)F)n3)CC2)n1
OCNT-2309415,SZIZNFZWYZMKGP-UHFFFAOYSA-N,Cc1nn(C)c2c1N(C(=O)CCc1cncc(F)c1)CCO2
OCNT-2309434,FKZOSNVMEGROHU-UHFFFAOYSA-N,CN1CCN(S(=O)(=O)c2cnn(C3CCCC3)c2)C(c2ccccc2)C1
OCNT-2309443,LTXRCYPELJYQOB-UHFFFAOYSA-N,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)Nc1cc(N(C)C)cc(C(F)(F)F)c1
OCNT-2309447,SRJYGDXJLJWAOP-UHFFFAOYSA-N,CC(NC(=O)c1cc2c(Cl)cc(Cl)cc2[nH]1)c1ccc(OCC(N)=O)cc1
OCNT-2309448,PYIWSJVAJVCDJD-UHFFFAOYSA-N,OC1(c2nc(-c3cccc(OCc4cccnc4)c3)no2)CCCCC1
OCNT-2309458,VRHSIWRFSPQEBM-UHFFFAOYSA-N,O=C(c1cn2ccccc2n1)N1CCCC(c2cc(C(F)(F)F)[nH]n2)C1
OCNT-2309469,CEXGDSRWXPGELQ-UONOGXRCSA-N,COc1cccc(Cc2noc([C@@H]3C[C@H]3c3ccc(F)cc3F)n2)n1
OCNT-2309492,YRYCNCAAIQZHCQ-UHFFFAOYSA-N,COc1ccc(OC)c(C2CCCN2C(=O)CCc2nc(-c3nnc[nH]3)no2)c1
OCNT-2309498,NZGXZMLTWAOIJJ-UHFFFAOYSA-N,Cc1n[nH]c(C)c1C(C)C(=O)N1CCN(c2ccccn2)CC1
OCNT-2309505,VHRWMNXPYKUVDY-UHFFFAOYSA-N,O=C(COc1cccnc1)NC1CC2(CCOCC2)Oc2ccccc21
OCNT-2309520,PQDNSHRLKSHCPF-IUODEOHRSA-N,O=C(CCC(=O)N1CCC(O)CC1)N[C@@H]1C[C@H]1c1c(F)cccc1Cl
OCNT-2309524,OQWALVNPZPFZNB-UHFFFAOYSA-N,CC(Cc1ccncc1)NC(=O)N1CC2(CCC2)C1C1CCOCC1
OCNT-2309550,TUNYSDUUJNGBOO-UHFFFAOYSA-N,CCc1nn(C)c2[nH]nc(NC(=O)c3cc(C)nc4onc(C)c34)c12
OCNT-2309560,UGLQFTQKYFIXRS-UHFFFAOYSA-N,O=S(=O)(c1cnn2ncccc12)N1CCCC(c2ccn[nH]2)C1
OCNT-2309567,WUJHRFRBGPBFFB-UHFFFAOYSA-N,COc1ccc2[nH]cc(C3CCN(c4ncnc5[nH]ncc45)CC3)c2c1
OCNT-2309576,VJOLPRXCRRLZKY-UHFFFAOYSA-N,O=C(C1CCSc2ccccc21)N1CCC(c2ccncn2)CC1
OCNT-2309581,XAKQUAVVZRFGRT-UHFFFAOYSA-N,N#CCc1ccccc1C(=O)N1CCN2C(=O)CCC2C1
OCNT-2309593,ICQPYVZPTBHWKX-UHFFFAOYSA-N,Cn1cnc(CCNCc2cn(-c3ccccc3)nc2-c2ccccc2)n1
OCNT-2309596,IXNDBORQXCOCSN-UHFFFAOYSA-N,O=C1NCC2(CCCC2)C(=O)N1CCc1ccc(F)cc1F
OCNT-2309598,XWCLCJYWVJRTHA-UHFFFAOYSA-N,O=C(NCc1csc(-c2ccccc2)n1)NC1CC(C(=O)O)C1
OCNT-2309599,PZBMCIRQTJSXEM-UHFFFAOYSA-N,Cc1n[nH]c(NC(=O)c2ccn(-c3c(F)cccc3F)n2)c1-c1ccc2c(c1)OCCO2
OCNT-2309603,NJASTDRCXHCKCI-UHFFFAOYSA-N,Cc1c(-c2ccccc2)oc2c(C(=O)NC(C)c3ccc4c(c3)CC(=O)N4)cccc2c1=O
OCNT-2309606,MFIXXYBDPKWHOV-UHFFFAOYSA-N,O=C(C1CC(c2ccccn2)=NO1)N1CCCC(Nc2cccc(Br)c2)C1
OCNT-2309655,RXWSOBRRXFTSLA-UHFFFAOYSA-N,COc1ccc(-n2cc(CNC(=O)N(C)CCC3CCCCN3C)nn2)cc1
OCNT-2309659,QDMSJHDEIZETOH-UHFFFAOYSA-N,Clc1cccc(-c2nccc(Nc3cnn(-c4ccccn4)c3)n2)c1
OCNT-2309661,RSUDJUKPYSQPJM-UHFFFAOYSA-N,N#Cc1cccc(CNC(=O)CSc2ncc(-c3ccccc3)o2)c1
OCNT-2309663,BBRIXFTZIRVEEF-UHFFFAOYSA-N,O=C(Nc1ccc2[nH]ncc2c1)c1ccccc1Sc1ccccc1
OCNT-2309686,XQSMMYKKUBTICB-UHFFFAOYSA-N,Cc1ccc(Br)cc1NC(=O)c1cnn2c1CC(CNC(=O)OC(C)(C)C)CC2
OCNT-2309704,QMUPVRYCKBCCRT-UHFFFAOYSA-N,Cn1nnc2ccc(C(=O)NS(=O)(=O)c3cccc(Cl)c3)cc21
OCNT-2309709,TUNHMOUQIPHTBW-UHFFFAOYSA-N,COc1ccc(C(=O)NC2CCCN(c3cc(C)nn3C)C2)cn1
OCNT-2309734,XKOYXYRROUYVSA-UHFFFAOYSA-N,COC(=O)c1ccccc1NC(=O)c1coc2c1C(=O)NCC2
OCNT-2309742,PDQLPNSIVZNUDK-UHFFFAOYSA-N,O=C(Cn1ccc(C(F)(F)F)n1)NS(=O)(=O)c1cccc2cnccc12
OCNT-2309746,ZRDDUQNCPHKPCT-UHFFFAOYSA-N,Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1
OCNT-2309768,OOPGWPZBSRALIG-UHFFFAOYSA-N,O=C(NCCc1nccc(C2CC2)n1)c1cc2nccn2c(=O)[nH]1
OCNT-2309776,JEIGWQHMZMNNGN-UHFFFAOYSA-N,Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1
OCNT-2309800,GIFUCGYPMBHNPM-UHFFFAOYSA-N,Cc1cccn2c(NC(=O)c3ccc4c(c3)NC(=O)CCC4)c(-c3ccccc3)nc12
OCNT-2309801,LTKHJAAHPNJLHY-UHFFFAOYSA-N,CCNc1nc(C(=O)N2CCc3cc(Cl)ccc3C2)cs1
OCNT-2309809,JZKURPYQVDAOOL-UHFFFAOYSA-N,O=C(Cc1c[nH]c2ccccc12)N1CCc2oc(-c3ccccc3)cc2C1
OCNT-2309811,GAAAACRGNMPWJY-UHFFFAOYSA-N,O=C(OCc1nc(Cc2ccc(F)cc2)no1)C(C1CC1)C1CC1
OCNT-2309844,GGSBXNSPXLOOHI-UHFFFAOYSA-N,COc1cccc(NC(=O)N2CCC(C)C(n3ccnc3)C2)c1C
OCNT-2309846,FGUQAYRHKXYOTM-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)NCC(=O)Nc2ccc(Cn3ccnc3)cc2)c1
OCNT-2309877,YKVLNDDAPLQHQD-UHFFFAOYSA-N,O=C(NC1CCN(C(=O)CCc2ccccc2)CC1)c1cccc2nn[nH]c12
OCNT-2309905,LVJWCKKQYYBYRC-UHFFFAOYSA-N,Cn1ncc(C(=O)NCC2CCC3(CC(C(=O)OC(C)(C)C)C3)O2)c1Cc1ccccc1
OCNT-2309918,SVDYMXAJCOKQLE-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(NC(=O)N2CCc3cc(F)c(F)cc3C2)cc1
OCNT-2309920,OXVAKGJWUUTGGP-UHFFFAOYSA-N,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1
OCNT-2309926,LECHJNCDFRJREW-UHFFFAOYSA-N,Cc1ccnc(NCc2ccc(N3CCOC(C)C3)nc2)c1
OCNT-2309942,AAJANOIUSFNLGX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC2CCNC23CCCC3)c2ncccc12
OCNT-2309950,UWGSRPLGVVOCMK-UHFFFAOYSA-N,O=C(NCCc1nc(-c2ccccc2)n[nH]1)c1ccc(F)c(F)c1
OCNT-2309955,KAIXLFHXPRCWAS-UHFFFAOYSA-N,COCc1cnc(NC(=O)N2CCOC(C3CCC3)C2)s1
OCNT-2309987,ZPRQFKSHIREKOP-UHFFFAOYSA-N,O=S(=O)(CCNCc1cc2ccccc2nc1N1CCCCC1)c1ccccc1
OCNT-2309993,HJDIMWOEKKJXFJ-UHFFFAOYSA-N,CCC(C(=O)NC(CNS(=O)(=O)c1cnn(C)c1)c1ccccc1)c1c(C)noc1C
OCNT-2310008,YZDDODJEXHDWEE-UHFFFAOYSA-N,FC(F)(F)C1(c2nc(-c3cc(C4CC4)[nH]n3)no2)CC2(CCC2)C1
OCNT-2310021,YXVXGYRWFHPXRG-UHFFFAOYSA-N,FC(F)(F)Cn1ccc(Cc2nc(-c3ccsc3Cl)no2)n1
OCNT-2310024,YDDBBPMIFIWYPM-UHFFFAOYSA-N,OCCC1(CNC2CCCc3ccc(O)cc32)CCOC1
OCNT-2310036,YUSOQWDLAGAIHW-UHFFFAOYSA-N,N#Cc1ccc(NC(=O)c2coc(-c3ccccc3)n2)cc1
OCNT-2310041,OQNCBOFIXGDOFI-UHFFFAOYSA-N,O=C(CN1CCN(c2nc3ccccc3s2)CC1)Nc1ccc(F)cc1F
OCNT-2310043,ZSKKBENNGKLPHJ-UHFFFAOYSA-N,Cc1cc(S(N)(=O)=O)ccc1CNC(=O)NC1CCCCCC1
