inchikey,isoform,max_response,n_replicates_eff
ABHTWRAHNNWKAR-UHFFFAOYSA-N,CYP3A4,-38.2582,1
ABJAWCBRBJOZQR-UHFFFAOYSA-N,CYP1A2,-83.056,1
ABJAWCBRBJOZQR-UHFFFAOYSA-N,CYP2C9,-87.8825,1
ABJAWCBRBJOZQR-UHFFFAOYSA-N,CYP2D6,15.6392,1
ABJAWCBRBJOZQR-UHFFFAOYSA-N,CYP3A4,37.9359,1
ABJPEFQUUBDHMZ-UHFFFAOYSA-M,CYP1A2,-42.05,1
ABJPEFQUUBDHMZ-UHFFFAOYSA-M,CYP2C9,-91.99,1
ABJPEFQUUBDHMZ-UHFFFAOYSA-M,CYP2D6,-88.63,1
ABJPEFQUUBDHMZ-UHFFFAOYSA-M,CYP3A4,-15.6809,1
ABKAAFBFNWYLHX-DDHJBXDOSA-N,CYP1A2,-29.07,1
ABKAAFBFNWYLHX-DDHJBXDOSA-N,CYP2C9,-49.87,1
ABKAAFBFNWYLHX-DDHJBXDOSA-N,CYP2D6,-3.883,1
ABKAAFBFNWYLHX-DDHJBXDOSA-N,CYP3A4,-6.6228,1
ABKDQIYZBHXIDA-UHFFFAOYSA-N,CYP1A2,-6.833,1
ABKDQIYZBHXIDA-UHFFFAOYSA-N,CYP2C9,-96.6,1
ABKDQIYZBHXIDA-UHFFFAOYSA-N,CYP2D6,-6.23,1
ABKDQIYZBHXIDA-UHFFFAOYSA-N,CYP3A4,-35.958,1
ABMVUAWFTZKZDV-UHFFFAOYSA-N,CYP1A2,-24.9,1
ABMVUAWFTZKZDV-UHFFFAOYSA-N,CYP2C9,-3.994,1
ABMVUAWFTZKZDV-UHFFFAOYSA-N,CYP2D6,-0.239,1
ABMVUAWFTZKZDV-UHFFFAOYSA-N,CYP3A4,-18.7943,1
ABMXANQNCQQENX-VLHGJDIZSA-N,CYP1A2,-26.64,1
ABMXANQNCQQENX-VLHGJDIZSA-N,CYP2C9,23.12,1
ABMXANQNCQQENX-VLHGJDIZSA-N,CYP2D6,2.44,1
ABMXANQNCQQENX-VLHGJDIZSA-N,CYP3A4,-43.7987,1
ABMXANQNCQQENX-WOVXUEKZSA-N,CYP1A2,2.528,1
ABMXANQNCQQENX-WOVXUEKZSA-N,CYP2C9,-9.957,1
ABMXANQNCQQENX-WOVXUEKZSA-N,CYP2D6,7.511,1
ABMXANQNCQQENX-WOVXUEKZSA-N,CYP3A4,-51.0558,1
ABMYGSSLUNZNLN-SNLOLGNNSA-N,CYP1A2,-17.01,1
ABMYGSSLUNZNLN-SNLOLGNNSA-N,CYP2C9,-94.45,1
ABMYGSSLUNZNLN-SNLOLGNNSA-N,CYP2D6,-13.36,1
ABMYGSSLUNZNLN-SNLOLGNNSA-N,CYP3A4,-48.2436,1
ABNGJSUCQRYOCC-UHFFFAOYSA-N,CYP1A2,-21.5036,1
ABNGJSUCQRYOCC-UHFFFAOYSA-N,CYP2C9,-27.4384,1
ABNGJSUCQRYOCC-UHFFFAOYSA-N,CYP2D6,-22.2603,1
ABNGJSUCQRYOCC-UHFFFAOYSA-N,CYP3A4,-20.6159,1
ABNPHIKEDKGPMD-UHFFFAOYSA-N,CYP1A2,-2.203,1
ABNPHIKEDKGPMD-UHFFFAOYSA-N,CYP2C9,-1.101,1
ABNPHIKEDKGPMD-UHFFFAOYSA-N,CYP2D6,12.19,1
ABNPHIKEDKGPMD-UHFFFAOYSA-N,CYP3A4,21.0243,1
ABOZLLKCFJXVMC-UHFFFAOYSA-N,CYP1A2,-119.0,1
ABOZLLKCFJXVMC-UHFFFAOYSA-N,CYP2C9,7.887,1
ABOZLLKCFJXVMC-UHFFFAOYSA-N,CYP2D6,-62.41,1
ABOZLLKCFJXVMC-UHFFFAOYSA-N,CYP3A4,-50.8027,1
ABPJHHHWWYDYFZ-UHFFFAOYSA-N,CYP1A2,-3.599,1
ABPJHHHWWYDYFZ-UHFFFAOYSA-N,CYP2C9,12.69,1
ABPJHHHWWYDYFZ-UHFFFAOYSA-N,CYP2D6,-2.813,1
ABPJHHHWWYDYFZ-UHFFFAOYSA-N,CYP3A4,14.7709,1
ABQKYBVDVAXVNO-UHFFFAOYSA-N,CYP1A2,-19.12,1
ABQKYBVDVAXVNO-UHFFFAOYSA-N,CYP2C9,-11.08,1
ABQKYBVDVAXVNO-UHFFFAOYSA-N,CYP2D6,4.691,1
ABQKYBVDVAXVNO-UHFFFAOYSA-N,CYP3A4,-10.2495,1
ABTCRZZPFNEMKM-UHFFFAOYSA-N,CYP1A2,-25.0111,1
ABTCRZZPFNEMKM-UHFFFAOYSA-N,CYP2C9,-48.2747,1
ABTCRZZPFNEMKM-UHFFFAOYSA-N,CYP2D6,-57.8869,1
ABTCRZZPFNEMKM-UHFFFAOYSA-N,CYP3A4,-59.8961,1
ABXZHBOLRVUXPK-UHFFFAOYSA-N,CYP1A2,-33.18,1
ABXZHBOLRVUXPK-UHFFFAOYSA-N,CYP2C9,7.785,1
ABXZHBOLRVUXPK-UHFFFAOYSA-N,CYP2D6,-11.76,1
ABXZHBOLRVUXPK-UHFFFAOYSA-N,CYP3A4,-9.7452,1
ABYDHFCNXZFOEE-MHWRWJLKSA-N,CYP1A2,-82.2515,1
ABYDHFCNXZFOEE-MHWRWJLKSA-N,CYP2C9,-44.2931,1
ABYDHFCNXZFOEE-MHWRWJLKSA-N,CYP2D6,2.1274,1
ABYDHFCNXZFOEE-MHWRWJLKSA-N,CYP3A4,-37.8963,1
ABYGAJPOIMHMSY-UHFFFAOYSA-N,CYP1A2,-83.9844,1
ABYGAJPOIMHMSY-UHFFFAOYSA-N,CYP2C9,6.4017,1
ABYGAJPOIMHMSY-UHFFFAOYSA-N,CYP2D6,5.0952,1
ABYGAJPOIMHMSY-UHFFFAOYSA-N,CYP3A4,-19.3383,1
ABYNBCNJVIBURA-UHFFFAOYSA-N,CYP1A2,-13.13,1
ABYNBCNJVIBURA-UHFFFAOYSA-N,CYP2C9,-14.31,1
ABYNBCNJVIBURA-UHFFFAOYSA-N,CYP2D6,1.405,1
ABYNBCNJVIBURA-UHFFFAOYSA-N,CYP3A4,-59.4359,1
ABZIHPOQAJFNOC-UHFFFAOYSA-N,CYP1A2,-31.8615,1
ABZIHPOQAJFNOC-UHFFFAOYSA-N,CYP2C9,0.8042,1
ABZIHPOQAJFNOC-UHFFFAOYSA-N,CYP2D6,-3.8542,1
ABZIHPOQAJFNOC-UHFFFAOYSA-N,CYP3A4,-20.6962,1
ACAYSFZBEWEESJ-UHFFFAOYSA-N,CYP1A2,-67.5595,1
ACAYSFZBEWEESJ-UHFFFAOYSA-N,CYP2C9,-94.3974,1
ACAYSFZBEWEESJ-UHFFFAOYSA-N,CYP2D6,-63.3264,1
ACAYSFZBEWEESJ-UHFFFAOYSA-N,CYP3A4,-89.4164,1
ACBNTTVBYNHSID-UHFFFAOYSA-N,CYP1A2,23.0382,1
ACBNTTVBYNHSID-UHFFFAOYSA-N,CYP2C9,-20.3812,1
ACBNTTVBYNHSID-UHFFFAOYSA-N,CYP2D6,8.3856,1
ACBNTTVBYNHSID-UHFFFAOYSA-N,CYP3A4,-72.5861,1
ACCYXZRLZXXUDX-CHHVJCJISA-N,CYP1A2,-80.8535,1
ACCYXZRLZXXUDX-CHHVJCJISA-N,CYP2C9,-15.7529,1
ACCYXZRLZXXUDX-CHHVJCJISA-N,CYP2D6,34.1619,1
ACCYXZRLZXXUDX-CHHVJCJISA-N,CYP3A4,-58.0261,1
ACEQBHFVHBMCFK-UHFFFAOYSA-N,CYP1A2,-89.1872,1
ACEQBHFVHBMCFK-UHFFFAOYSA-N,CYP2C9,-99.7515,1
ACEQBHFVHBMCFK-UHFFFAOYSA-N,CYP2D6,-83.3544,1
ACEQBHFVHBMCFK-UHFFFAOYSA-N,CYP3A4,-106.075,1
ACGDKVXYNVEAGU-UHFFFAOYSA-N,CYP1A2,0.0554,1
ACGDKVXYNVEAGU-UHFFFAOYSA-N,CYP2C9,-6.996,1
ACGDKVXYNVEAGU-UHFFFAOYSA-N,CYP2D6,-2.33,1
ACGDKVXYNVEAGU-UHFFFAOYSA-N,CYP3A4,4.0543,1
ACGNORVVGCXOJV-JJMVFDMJSA-N,CYP1A2,-60.0,1
ACGNORVVGCXOJV-JJMVFDMJSA-N,CYP2C9,-89.3,1
ACGNORVVGCXOJV-JJMVFDMJSA-N,CYP2D6,-33.51,1
ACGNORVVGCXOJV-JJMVFDMJSA-N,CYP3A4,-100.69,1
ACGNORVVGCXOJV-WDNBFFNVSA-N,CYP1A2,-39.36,1
ACGNORVVGCXOJV-WDNBFFNVSA-N,CYP2C9,-89.88,1
ACGNORVVGCXOJV-WDNBFFNVSA-N,CYP2D6,-82.3,1
ACGNORVVGCXOJV-WDNBFFNVSA-N,CYP3A4,-105.026,1
ACIBITXFBJEMDM-UHFFFAOYSA-N,CYP1A2,-108.9,1
ACIBITXFBJEMDM-UHFFFAOYSA-N,CYP2C9,-41.3,1
ACIBITXFBJEMDM-UHFFFAOYSA-N,CYP2D6,-87.95,1
ACIBITXFBJEMDM-UHFFFAOYSA-N,CYP3A4,-92.3888,1
ACIJGUBIMXQCMF-SCSAIBSYSA-N,CYP1A2,-17.36,1
ACIJGUBIMXQCMF-SCSAIBSYSA-N,CYP2C9,-0.1432,1
ACIJGUBIMXQCMF-SCSAIBSYSA-N,CYP2D6,6.406,1
ACIJGUBIMXQCMF-SCSAIBSYSA-N,CYP3A4,-5.9412,1
ACIMRXKJKQGBGL-UHFFFAOYSA-N,CYP1A2,-80.23,1
ACIMRXKJKQGBGL-UHFFFAOYSA-N,CYP2C9,-56.15,1
ACIMRXKJKQGBGL-UHFFFAOYSA-N,CYP2D6,-51.01,1
ACIMRXKJKQGBGL-UHFFFAOYSA-N,CYP3A4,-61.0,1
ACIORWSBZIKYKH-UHFFFAOYSA-N,CYP1A2,-89.2973,1
ACIORWSBZIKYKH-UHFFFAOYSA-N,CYP2C9,-43.7879,1
ACIORWSBZIKYKH-UHFFFAOYSA-N,CYP2D6,-7.9024,1
ACIORWSBZIKYKH-UHFFFAOYSA-N,CYP3A4,-30.4909,1
ACKAQJBYLPLIOW-QFIPXVFZSA-N,CYP1A2,-42.24,1
ACKAQJBYLPLIOW-QFIPXVFZSA-N,CYP2C9,-55.8,1
ACKAQJBYLPLIOW-QFIPXVFZSA-N,CYP2D6,-97.58,1
ACKAQJBYLPLIOW-QFIPXVFZSA-N,CYP3A4,-88.3158,1
ACKPJNGQQZINFJ-UHFFFAOYSA-N,CYP1A2,6.9126,1
ACKPJNGQQZINFJ-UHFFFAOYSA-N,CYP2C9,-29.412,1
ACKPJNGQQZINFJ-UHFFFAOYSA-N,CYP2D6,6.1607,1
ACKPJNGQQZINFJ-UHFFFAOYSA-N,CYP3A4,-1.4643,1
ACLJAFRNPZVVIW-QUWNADPFSA-N,CYP1A2,-11.7,1
ACLJAFRNPZVVIW-QUWNADPFSA-N,CYP2C9,2.002,1
ACLJAFRNPZVVIW-QUWNADPFSA-N,CYP2D6,-0.4486,1
ACLJAFRNPZVVIW-QUWNADPFSA-N,CYP3A4,0.2093,1
ACMFBLTXXMRJPW-UHFFFAOYSA-N,CYP1A2,-9.752,1
ACMFBLTXXMRJPW-UHFFFAOYSA-N,CYP2C9,0.4093,1
ACMFBLTXXMRJPW-UHFFFAOYSA-N,CYP2D6,-27.12,1
ACMFBLTXXMRJPW-UHFFFAOYSA-N,CYP3A4,201.947,1
ACNHBCIZLNNLRS-KWSNMMCTSA-N,CYP1A2,-27.71,1
ACNHBCIZLNNLRS-KWSNMMCTSA-N,CYP2C9,9.814,1
ACNHBCIZLNNLRS-KWSNMMCTSA-N,CYP2D6,3.989,1
ACNHBCIZLNNLRS-KWSNMMCTSA-N,CYP3A4,-53.5582,1
ACNZBMHWJOTYOX-UHFFFAOYSA-N,CYP1A2,-59.9963,1
ACNZBMHWJOTYOX-UHFFFAOYSA-N,CYP2C9,197.598,1
ACNZBMHWJOTYOX-UHFFFAOYSA-N,CYP2D6,-49.8906,1
ACNZBMHWJOTYOX-UHFFFAOYSA-N,CYP3A4,-84.1451,1
ACOMGCASAKQJIO-UHFFFAOYSA-N,CYP1A2,-110.674,1
ACOMGCASAKQJIO-UHFFFAOYSA-N,CYP2C9,-70.0001,1
ACOMGCASAKQJIO-UHFFFAOYSA-N,CYP2D6,-33.6271,1
ACOMGCASAKQJIO-UHFFFAOYSA-N,CYP3A4,-99.3893,1
ACPAMUUXGJTFDV-UHFFFAOYSA-N,CYP1A2,-105.1,1
ACPAMUUXGJTFDV-UHFFFAOYSA-N,CYP2C9,-25.82,1
ACPAMUUXGJTFDV-UHFFFAOYSA-N,CYP2D6,-33.05,1
ACPAMUUXGJTFDV-UHFFFAOYSA-N,CYP3A4,-10.1363,1
ACPOUJIDANTYHO-UHFFFAOYSA-N,CYP1A2,-97.89,1
ACPOUJIDANTYHO-UHFFFAOYSA-N,CYP2C9,31.87,1
ACPOUJIDANTYHO-UHFFFAOYSA-N,CYP2D6,-90.76,1
ACPOUJIDANTYHO-UHFFFAOYSA-N,CYP3A4,-89.2784,1
ACQIOJGCZAKEOE-RSMHBEIYSA-N,CYP1A2,-80.27,1
ACQIOJGCZAKEOE-RSMHBEIYSA-N,CYP2C9,-46.92,1
ACQIOJGCZAKEOE-RSMHBEIYSA-N,CYP2D6,-10.24,1
ACQIOJGCZAKEOE-RSMHBEIYSA-N,CYP3A4,-21.965,1
ACRIENBXIIVXCZ-UHFFFAOYSA-N,CYP1A2,-22.6771,1
ACRIENBXIIVXCZ-UHFFFAOYSA-N,CYP2C9,-52.7341,1
ACRIENBXIIVXCZ-UHFFFAOYSA-N,CYP2D6,-21.6627,1
ACRIENBXIIVXCZ-UHFFFAOYSA-N,CYP3A4,-62.0227,1
ACRQUHIUPAZNMP-YESZJQIVSA-N,CYP1A2,-79.74,1
ACRQUHIUPAZNMP-YESZJQIVSA-N,CYP2C9,-40.33,1
ACRQUHIUPAZNMP-YESZJQIVSA-N,CYP2D6,4.628,1
ACRQUHIUPAZNMP-YESZJQIVSA-N,CYP3A4,34.7711,1
ACRQUHIUPAZNMP-ZACQAIPSSA-N,CYP1A2,-76.58,1
ACRQUHIUPAZNMP-ZACQAIPSSA-N,CYP2C9,-51.55,1
ACRQUHIUPAZNMP-ZACQAIPSSA-N,CYP2D6,-11.96,1
ACRQUHIUPAZNMP-ZACQAIPSSA-N,CYP3A4,14.682,1
ACSJNMXHJOVJON-UHFFFAOYSA-N,CYP1A2,-49.43,1
ACSJNMXHJOVJON-UHFFFAOYSA-N,CYP2C9,-3.968,1
ACSJNMXHJOVJON-UHFFFAOYSA-N,CYP2D6,13.37,1
ACSJNMXHJOVJON-UHFFFAOYSA-N,CYP3A4,2.5608,1
ACTOXUHEUCPTEW-OMMJFCIJSA-N,CYP1A2,-3.851,1
ACTOXUHEUCPTEW-OMMJFCIJSA-N,CYP2C9,8.245,1
ACTOXUHEUCPTEW-OMMJFCIJSA-N,CYP2D6,-5.704,1
ACTOXUHEUCPTEW-OMMJFCIJSA-N,CYP3A4,-9.3698,1
ACTRLDZRLKIJEH-WRKNGKJWSA-N,CYP1A2,-3.39,1
ACTRLDZRLKIJEH-WRKNGKJWSA-N,CYP2C9,-14.12,1
ACTRLDZRLKIJEH-WRKNGKJWSA-N,CYP2D6,2.991,1
ACTRLDZRLKIJEH-WRKNGKJWSA-N,CYP3A4,-9.5687,1
ACTRVOBWPAIOHC-LWMBPPNESA-N,CYP1A2,-20.13,1
ACTRVOBWPAIOHC-LWMBPPNESA-N,CYP2C9,-52.04,1
ACTRVOBWPAIOHC-LWMBPPNESA-N,CYP2D6,-4.311,1
ACTRVOBWPAIOHC-LWMBPPNESA-N,CYP3A4,-14.7185,1
ACUFSIYASGABTC-UHFFFAOYSA-N,CYP1A2,23.7056,1
ACUFSIYASGABTC-UHFFFAOYSA-N,CYP2C9,-13.7652,1
ACUFSIYASGABTC-UHFFFAOYSA-N,CYP2D6,21.6322,1
ACUFSIYASGABTC-UHFFFAOYSA-N,CYP3A4,18.1483,1
ACVGNKYJVGNLIL-UHFFFAOYSA-N,CYP1A2,-37.23,1
ACVGNKYJVGNLIL-UHFFFAOYSA-N,CYP2C9,-92.22,1
ACVGNKYJVGNLIL-UHFFFAOYSA-N,CYP2D6,-92.63,1
ACVGNKYJVGNLIL-UHFFFAOYSA-N,CYP3A4,1.1879,1
ACVGNKYJVGNLIL-UHFFFAOYSA-O,CYP1A2,-9.823,2
ACVGNKYJVGNLIL-UHFFFAOYSA-O,CYP2C9,-2.8979999999999997,2
ACVGNKYJVGNLIL-UHFFFAOYSA-O,CYP2D6,-0.618,2
ACVGNKYJVGNLIL-UHFFFAOYSA-O,CYP3A4,-0.49715,2
ACVGWSKVRYFWRP-UHFFFAOYSA-N,CYP1A2,-98.2,1
ACVGWSKVRYFWRP-UHFFFAOYSA-N,CYP2C9,15.52,1
ACVGWSKVRYFWRP-UHFFFAOYSA-N,CYP2D6,-4.051,1
ACVGWSKVRYFWRP-UHFFFAOYSA-N,CYP3A4,-43.0714,1
ACZACWCICWPFTL-UHFFFAOYSA-N,CYP1A2,-54.5821,1
ACZACWCICWPFTL-UHFFFAOYSA-N,CYP2C9,22.1287,1
ACZACWCICWPFTL-UHFFFAOYSA-N,CYP2D6,56.409,1
ACZACWCICWPFTL-UHFFFAOYSA-N,CYP3A4,-30.4311,1
ADDCDDPNHJPLRL-UHFFFAOYSA-N,CYP1A2,-31.8115,1
