inchikey,Molecule_Name,CYP2D6_pIC50_direct_inhibition,density,weight_unclipped,weight,repeat,fold
HXLAFSUPPDYFEO-UHFFFAOYSA-N,OCNT-0493764,5.111952795,0.4500985035837304,0.4114742833241551,0.4114742833241551,0,0
XPOQHMRABVBWPR-ZDUSSCGKSA-N,OCNT-0493927,2.132256025,0.015286985144976986,12.115139606074951,5.0,0,0
MRBDMNSDAVCSSF-UHFFFAOYSA-N,OCNT-0493940,5.2824111,0.39062379497154787,0.4741235981307282,0.4741235981307282,0,0
XGALLCVXEZPNRQ-UHFFFAOYSA-N,OCNT-0494023,4.17417411,0.3527591822104046,0.5250152753697124,0.5250152753697124,0,0
RZEKVGVHFLEQIL-UHFFFAOYSA-N,OCNT-0494139,4.412231055,0.7225836955150611,0.25630796866427474,0.25630796866427474,0,0
LOUPRKONTZGTKE-WZBLMQSHSA-N,OCNT-0494161,4.907063575,0.5320736670180745,0.3480795436190958,0.3480795436190958,0,0
WWYNJERNGUHSAO-XUDSTZEESA-N,OCNT-0494166,4.560219538,0.7780864485482869,0.2380249129552815,0.2380249129552815,0,0
YHXISWVBGDMDLQ-UHFFFAOYSA-N,OCNT-0494811,4.703618768,0.6892867530279394,0.26868927681232124,0.26868927681232124,0,0
XIQVNETUBQGFHX-UHFFFAOYSA-N,OCNT-0495216,4.812598903,0.5966648343446743,0.3103986501748545,0.3103986501748545,0,0
NCDNCNXCDXHOMX-XGKFQTDJSA-N,OCNT-0495340,4.374838627,0.6795007120815045,0.2725588890408335,0.2725588890408335,0,0
KJFMBFZCATUALV-UHFFFAOYSA-N,OCNT-0495493,4.522101552,0.7815796625122348,0.23696107776408645,0.23696107776408645,0,0
QJJXYPPXXYFBGM-CLAWHKJSSA-N,OCNT-0496415,4.258582557,0.4966757901019908,0.37288702787256667,0.37288702787256667,0,0
PHWBOXQYWZNQIN-UHFFFAOYSA-N,OCNT-0496475,5.264508453,0.39750005149185996,0.4659218495502075,0.4659218495502075,0,0
FQQIIPAOSKSOJM-UHFFFAOYSA-N,OCNT-0496647,5.04174318,0.472972656948825,0.3915743467754605,0.3915743467754605,0,0
PWHROYKAGRUWDQ-UHFFFAOYSA-N,OCNT-0497719,2.393250545,0.020852123378466692,8.881779367306267,5.0,0,0
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,OCNT-0497979,6.411201408,0.0668225752218341,2.7715776976951227,2.7715776976951227,0,0
DMDGGSIALPNSEE-UHFFFAOYSA-N,OCNT-0497986,5.001328997,0.4876546441892631,0.37978508232049324,0.37978508232049324,0,0
RZTAMFZIAATZDJ-UHFFFAOYSA-N,OCNT-0497994,2.584787373,0.023629471384068828,7.837837595988543,5.0,0,0
ASFKKFRSMGBFRO-UHFFFAOYSA-N,OCNT-0498030,4.283116052,0.538960628002759,0.3436317043671732,0.3436317043671732,0,0
OLNTVTPDXPETLC-XPWALMASSA-N,OCNT-0498067,4.252101198,0.4854021662464996,0.38154745088908154,0.38154745088908154,0,0
PURKAOJPTOLRMP-UHFFFAOYSA-N,OCNT-0713834,2.01608401,0.012349935324511157,14.996350533092446,5.0,0,0
MVRHVFSOIWFBTE-INIZCTEOSA-N,OCNT-0713835,4.47176306,0.7676512975855624,0.24126053036046266,0.24126053036046266,0,0
XFYDIVBRZNQMJC-UHFFFAOYSA-N,OCNT-1911799,4.377315923,0.6826697591072538,0.27129363314640814,0.27129363314640814,0,0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,OCNT-1911800,5.785331985,0.19383941103786828,0.9554504844796957,0.9554504844796957,0,0
LEBVLXFERQHONN-UHFFFAOYSA-N,OCNT-1965934,5.505079818,0.300272137783759,0.616787027109271,0.616787027109271,0,0
CJOFXWAVKWHTFT-XSFVSMFZSA-N,OCNT-2077048,5.005570732,0.48602409467211055,0.38105921335512266,0.38105921335512266,0,0
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,OCNT-2127780,4.790040613,0.6149309587633964,0.3011784600336735,0.3011784600336735,0,0
LEBMJYFBEYQLMP-PKHIMPSTSA-N,OCNT-2308478,4.977149855,0.4974548591986901,0.372303045719003,0.372303045719003,0,0
QXUKGGCCARXMOA-UHFFFAOYSA-N,OCNT-2308499,4.561984723,0.7776564043520489,0.23815654079477927,0.23815654079477927,0,0
CPACSLZRDZGWSJ-UHFFFAOYSA-N,OCNT-2308519,3.385210702,0.027450894564049602,6.746736750427726,5.0,0,0
FVRLQWKIQOWWAO-UHFFFAOYSA-N,OCNT-2308520,5.012302395,0.48348469974207087,0.3830606413940144,0.3830606413940144,0,0
PUSXQGIJOIJEEE-UHFFFAOYSA-N,OCNT-2308523,4.37545704,0.6802957278743702,0.27224036782661026,0.27224036782661026,0,0
WYKFILXPIPIWKO-UHFFFAOYSA-N,OCNT-2308526,4.701132065,0.6914045235674188,0.2678662821466642,0.2678662821466642,0,0
QCPPGXUAWUBFAE-UHFFFAOYSA-N,OCNT-2308537,4.533113725,0.7817495506030431,0.2369095819044903,0.2369095819044903,0,0
GNFJDSSWFMORPO-VXGBXAGGSA-N,OCNT-2308546,4.679070262,0.709767312378253,0.26093616310226786,0.26093616310226786,0,0
FJUHYDGFHVCIQR-UHFFFAOYSA-N,OCNT-2308588,5.612441365,0.2569313706587347,0.7208304642307947,0.7208304642307947,0,0
RALAWWZGDHUZBU-UHFFFAOYSA-N,OCNT-2308609,4.795514462,0.6104195585113648,0.30340436607085225,0.30340436607085225,0,0
AVCXISNYMQIPJV-UHFFFAOYSA-N,OCNT-2308610,5.157251315,0.4354939660776587,0.42527330712628963,0.42527330712628963,0,0
KPRTVCJELJEXDA-UHFFFAOYSA-N,OCNT-2308630,3.826484278,0.06052978358328407,3.0597161962848336,3.0597161962848336,0,0
MPCZYGOSXOARMM-UWEBFBLFSA-N,OCNT-2308638,4.740541735,0.6572867616566102,0.2817704082775171,0.2817704082775171,0,0
PTLQVNHZLMHXGQ-UHFFFAOYSA-N,OCNT-2308641,4.55688638,0.7788367687838019,0.23779560314877876,0.23779560314877876,0,0
VNQSMJWLAHOHHG-UHFFFAOYSA-N,OCNT-2308647,4.29210171,0.5541815849917424,0.33419363653187745,0.33419363653187745,0,0
AZASSXZRDAGZPS-UHFFFAOYSA-N,OCNT-2308661,4.33835974,0.6283734433722864,0.2947354970850735,0.2947354970850735,0,0
YRULVSZKPXWCAI-UHFFFAOYSA-N,OCNT-2308666,4.223028345,0.4348693354996186,0.4258841543164005,0.4258841543164005,0,0
XCLONNWVKWTSBY-UHFFFAOYSA-N,OCNT-2308676,4.945531675,0.5118014176512996,0.361866835065262,0.361866835065262,0,0
GFMCPOUBFSTUTJ-UHFFFAOYSA-N,OCNT-2308683,4.45826283,0.7601305543233977,0.24364756571618493,0.24364756571618493,0,0
DHQWOWWYSIXUOX-UHFFFAOYSA-N,OCNT-2308684,4.678832895,0.7099598042466967,0.2608654153088299,0.2608654153088299,0,0
WHDFCOKAEBTKOH-UHFFFAOYSA-N,OCNT-2308710,4.343477857,0.6360091995741379,0.29119698160246715,0.29119698160246715,0,0
CCDBOIJOTSQWKK-UHFFFAOYSA-N,OCNT-2308724,4.683762397,0.7059372167801383,0.26235188453744784,0.26235188453744784,0,0
NKTQBGOJRHMUPR-UHFFFAOYSA-N,OCNT-2308752,4.618252147,0.7533256693798369,0.2458484646352968,0.2458484646352968,0,0
JVBOUMBYROEYMI-UHFFFAOYSA-N,OCNT-2308766,4.82836169,0.5844687500835616,0.31687572545309134,0.31687572545309134,0,0
HNCQSEQJZWSJMC-UHFFFAOYSA-N,OCNT-2308775,4.904511807,0.5335387488690629,0.3471237273393267,0.3471237273393267,0,0
FYTHBWWFVYEGBA-UHFFFAOYSA-N,OCNT-2308782,5.8092887,0.18628275307130193,0.9942088364804288,0.9942088364804288,0,0
WPBCUTZPCFFBTO-UHFFFAOYSA-N,OCNT-2308798,4.282659655,0.5381827438656952,0.3441283863118588,0.3441283863118588,0,0
VCLGJYGBQRUEQK-UHFFFAOYSA-N,OCNT-2308800,4.808035037,0.6002877414646498,0.30852530610654916,0.30852530610654916,0,0
JGLRPGXNNHQDGO-UHFFFAOYSA-N,OCNT-2308810,3.131869342,0.018874265273705948,9.812512248908615,5.0,0,0
JPQWFLUGYXVHBX-UHFFFAOYSA-N,OCNT-2308832,3.92076868,0.09164658569217446,2.020849525256284,2.020849525256284,0,0
IDEYJIBZURGBOJ-UHFFFAOYSA-N,OCNT-2308837,5.777608648,0.19634727785400125,0.94324688995741,0.94324688995741,0,0
SXDCQGPXENGXSP-UHFFFAOYSA-N,OCNT-2308854,4.815805045,0.5941435807647302,0.3117158296131242,0.3117158296131242,0,0
RPDJRGYDAQZMIA-UHFFFAOYSA-N,OCNT-2308858,4.672973843,0.7146697562776813,0.2591462106246316,0.2591462106246316,0,0
HMLCRQUVBWFOAN-UHFFFAOYSA-N,OCNT-2308864,4.387594248,0.6953606409885307,0.2663423096885417,0.2663423096885417,0,0
CDHJEMYPBYQHIH-UHFFFAOYSA-N,OCNT-2308879,4.738641598,0.6589435560498349,0.281061947547725,0.281061947547725,0,0
RDYYEQXKMUGSDS-UHFFFAOYSA-N,OCNT-2308899,4.397846657,0.7072545701692474,0.2618632201175744,0.2618632201175744,0,0
FKSCUJKHJVNOBE-UHFFFAOYSA-N,OCNT-2308903,6.056284738,0.1259696196394192,1.4702271842808277,1.4702271842808277,0,0
RUEWPOBXCDTHHB-UHFFFAOYSA-N,OCNT-2308915,5.561224163,0.2774495609424948,0.6675229852887609,0.6675229852887609,0,0
PLJXPASPUUPXHL-UHFFFAOYSA-N,OCNT-2308945,2.70724508,0.022218637594668123,8.335522751936603,5.0,0,0
CKNWPWVGNNGZLM-UHFFFAOYSA-N,OCNT-2308954,4.59730531,0.7646109400790062,0.2422198656590674,0.2422198656590674,0,0
BMOCPDTYCNVLRX-UHFFFAOYSA-N,OCNT-2308968,5.032580607,0.47615254181612005,0.38895929964165127,0.38895929964165127,0,0
ZEJFPISQRZKEQM-UHFFFAOYSA-N,OCNT-2308971,3.763564688,0.04911496876552022,3.770825144398897,3.770825144398897,0,0
UQBSWRKJTBGPQD-STQMWFEESA-N,OCNT-2308982,5.201062245,0.42066493025683144,0.4402647947722105,0.4402647947722105,0,0
RRLUAXBCRMRKGJ-UHFFFAOYSA-N,OCNT-2309000,4.671842395,0.7155697132060974,0.25882028790400735,0.25882028790400735,0,0
AAFSKRHBWOQJCV-CVEARBPZSA-N,OCNT-2309014,5.679755865,0.23088047804162196,0.8021637894997882,0.8021637894997882,0,0
WXJSLUQWKZYAAO-UHFFFAOYSA-N,OCNT-2309041,4.621541817,0.7513463464894183,0.24649612000209342,0.24649612000209342,0,0
AKDZNYOMXNSCJO-UHFFFAOYSA-N,OCNT-2309057,4.60538449,0.760540229327475,0.24351632174824062,0.24351632174824062,0,0
WYCQHUTYOYFHBC-UHFFFAOYSA-N,OCNT-2309065,4.35484073,0.6524516696453996,0.28385851060515555,0.28385851060515555,0,0
CVLFFLFEHVFVJO-UHFFFAOYSA-N,OCNT-2309084,1.963048488,0.010472639491191694,17.684554055657227,5.0,0,0
WGPFWALIPIVDOI-UHFFFAOYSA-N,OCNT-2309101,4.351744877,0.6480443438342813,0.28578902192339894,0.28578902192339894,0,0
QYZMJZMDKMMMCM-ZYMOGRSISA-N,OCNT-2309109,6.39092459,0.06951464556714629,2.6642437385154474,2.6642437385154474,0,0
CXORMVTZPGEGDP-UHFFFAOYSA-N,OCNT-2309135,4.30954278,0.5830969695635988,0.3176211999969754,0.3176211999969754,0,0
ZSEFGWSPICCRSH-UHFFFAOYSA-N,OCNT-2309157,4.500912945,0.778397641214035,0.23792975387044477,0.23792975387044477,0,0
KACFGRDACMIPRI-UHFFFAOYSA-N,OCNT-2309162,5.30771717,0.3807010750643721,0.48648131386567345,0.48648131386567345,0,0
OCLAQVJROUPZQL-UHFFFAOYSA-N,OCNT-2309174,4.517965167,0.7812571785442943,0.23705888953555357,0.23705888953555357,0,0
VCYSTMFUUIMIKZ-UHFFFAOYSA-N,OCNT-2309181,5.497688715,0.3032909474076217,0.6106478309702954,0.6106478309702954,0,0
KNWNCBRHKNPFKT-UHFFFAOYSA-N,OCNT-2309187,4.574240568,0.774063605651107,0.23926193898704876,0.23926193898704876,0,0
UPAWLAQNHCADFI-UHFFFAOYSA-N,OCNT-2309193,4.146567835,0.30951502379879725,0.5983682372322691,0.5983682372322691,0,0
PDMGIGWBLXENAU-UHFFFAOYSA-N,OCNT-2309194,6.527767573,0.05378580010769524,3.4433616087620984,3.4433616087620984,0,0
WOMRZZBODGVVED-UHFFFAOYSA-N,OCNT-2309214,5.034287603,0.4755545105384908,0.38944843353010306,0.38944843353010306,0,0
OLFYPYMJSGSGAL-UHFFFAOYSA-N,OCNT-2309252,4.53308634,0.7817503525718448,0.23690933886770382,0.23690933886770382,0,0
FBQVIMAFKOGNEP-UHFFFAOYSA-N,OCNT-2309256,6.03976059,0.12924257477280468,1.432994967122559,1.432994967122559,0,0
BRWOHQLXDDQIIN-UHFFFAOYSA-N,OCNT-2309265,4.820187105,0.5907304844635243,0.31351684745977565,0.31351684745977565,0,0
RIIRUDJUXUOQHO-UHFFFAOYSA-N,OCNT-2309277,5.322218073,0.37492716750287153,0.4939731639638295,0.4939731639638295,0,0
UJKUYOWKJWNSKP-UHFFFAOYSA-N,OCNT-2309284,5.05666323,0.46793440961823174,0.3957904257104972,0.3957904257104972,0,0
ZZGFTJPZORQHHM-UHFFFAOYSA-N,OCNT-2309291,4.4642586,0.7636697265931993,0.2425183986454484,0.2425183986454484,0,0
ZJVULRBHOWBNCB-UHFFFAOYSA-N,OCNT-2309292,5.004099337,0.4865869639195651,0.3806184154534915,0.3806184154534915,0,0
MRDBPJRTBBNVOK-UHFFFAOYSA-N,OCNT-2309302,5.669179068,0.2348769310530462,0.788514897384973,0.788514897384973,0,0
SMRUWTFDCWAZON-UHFFFAOYSA-N,OCNT-2309342,4.887505255,0.5437027915204063,0.3406345563712983,0.3406345563712983,0,0
XYQUEYBQTCSVQX-UHFFFAOYSA-N,OCNT-2309351,5.412311752,0.33827680256747483,0.5474923429029638,0.5474923429029638,0,0
UNXHWBNUCBKFTR-UHFFFAOYSA-N,OCNT-2309368,5.279088677,0.39190966368501745,0.472567982748802,0.472567982748802,0,0
ZPRUSZIYKMPBOQ-UHFFFAOYSA-N,OCNT-2309371,4.49137587,0.775704008637599,0.2387559650654268,0.2387559650654268,0,0
APLZTWIKOAAHGG-OAHLLOKOSA-N,OCNT-2309372,5.00270215,0.48712413081104844,0.38019869571854414,0.38019869571854414,0,0
BDHDGFPUBOQSQB-UHFFFAOYSA-N,OCNT-2309377,4.15024103,0.31509952099085475,0.5877633790270514,0.5877633790270514,0,0
PRZNERQKPPAXRZ-MOPGFXCFSA-N,OCNT-2309379,4.354577762,0.6520794783557722,0.28402053021877727,0.28402053021877727,0,0
GJLFZZVHBYMJBF-UHFFFAOYSA-N,OCNT-2309390,4.479350962,0.7711699555518476,0.24015971817115017,0.24015971817115017,0,0
ZYJGGUBSMFRWAS-IRQCGSAXSA-N,OCNT-2309398,4.5833125,0.7707477201231618,0.24029128384290957,0.24029128384290957,0,0
MZOUBTFGGXQHPW-UHFFFAOYSA-N,OCNT-2309402,4.361858233,0.6622306264540553,0.27966685892960486,0.27966685892960486,0,0
FDTLDSJQJPLLPT-UHFFFAOYSA-N,OCNT-2309424,4.272804338,0.5212909276074627,0.35527945985442233,0.35527945985442233,0,0
XDVBFTZRKVTXJJ-UHFFFAOYSA-N,OCNT-2309429,4.231383845,0.4493449260254872,0.4121643496134308,0.4121643496134308,0,0
HAKCDVKQMMAHCO-UHFFFAOYSA-N,OCNT-2309435,4.78945537,0.6154160298431924,0.30094107109068957,0.30094107109068957,0,0
MBZAIEOXKLAHSN-INIZCTEOSA-N,OCNT-2309439,4.284685697,0.5416326252407913,0.3419364908180241,0.3419364908180241,0,0
QOMNZKKELSCABI-UHFFFAOYSA-N,OCNT-2309445,4.303172358,0.5726449065155857,0.3234185043473348,0.3234185043473348,0,0
BMKQCIAAGVYKPA-UHFFFAOYSA-N,OCNT-2309461,4.396423975,0.7056511814804591,0.2624582287226267,0.2624582287226267,0,0
NHLYQLGKEWBBCF-UHFFFAOYSA-N,OCNT-2309465,2.394134305,0.0208734629621211,8.872699250885118,5.0,0,0
JZQDBNRJLWKWSB-UHFFFAOYSA-N,OCNT-2309466,4.458210463,0.7600982450351884,0.24365792237662143,0.24365792237662143,0,0
XCLSMLMSUUDBJC-UHFFFAOYSA-N,OCNT-2309476,4.673651312,0.7141293639214895,0.2593423104329193,0.2593423104329193,0,0
RLHVXEPQNQUDCI-UHFFFAOYSA-N,OCNT-2309483,4.437077415,0.74509921667943,0.2485628155841585,0.2485628155841585,0,0
GCTJEOJLGZLREK-UHFFFAOYSA-N,OCNT-2309487,4.77270833,0.6294956168724868,0.2942100853815886,0.2942100853815886,0,0
NHKYFFIMWRXZCG-UHFFFAOYSA-N,OCNT-2309491,4.341911315,0.6336866179796138,0.2922642737476086,0.2922642737476086,0,0
FKXADKCFWZZCLK-UHFFFAOYSA-N,OCNT-2309502,3.393216993,0.02763870628474097,6.700891035903486,5.0,0,0
BAVBWDPYCHMZSH-UHFFFAOYSA-N,OCNT-2309511,4.911090125,0.5297932685016103,0.34957778854230037,0.34957778854230037,0,0
WROCZHPTMZEAPU-UHFFFAOYSA-N,OCNT-2309518,4.763546113,0.6373359949815961,0.29059077259984056,0.29059077259984056,0,0
HIVZUFUERULVAL-UHFFFAOYSA-N,OCNT-2309527,4.418213612,0.7284733871112924,0.25423572427512114,0.25423572427512114,0,0
ABJJHLHSXMHIRM-UHFFFAOYSA-N,OCNT-2309539,5.380498507,0.35130862512419125,0.5271830690804092,0.5271830690804092,0,0
GKWFLKZYXIKUQH-UHFFFAOYSA-N,OCNT-2309546,4.434372137,0.7428996958508476,0.2492987414340975,0.2492987414340975,0,0
LXSXXEMTYWLERB-UHFFFAOYSA-N,OCNT-2309549,4.462573875,0.7627073591014953,0.2428244030653762,0.2428244030653762,0,0
GUMSGYXZMJPIFJ-YPMHNXCESA-N,OCNT-2309554,5.617211242,0.2550442540371571,0.7261640137182153,0.7261640137182153,0,0
QMJAELYZTXCCRL-UHFFFAOYSA-N,OCNT-2309565,4.969772243,0.5006352670365269,0.36993789966833757,0.36993789966833757,0,0
BRKCTOJAKSAOFN-UHFFFAOYSA-N,OCNT-2309577,4.34909046,0.644221539569716,0.28748489116196,0.28748489116196,0,0
CBRQOHPCDLQLPJ-UHFFFAOYSA-N,OCNT-2309578,3.852292495,0.06697456940495013,2.7652877925587913,2.7652877925587913,0,0
XUWIQIYEULASKP-UHFFFAOYSA-N,OCNT-2309582,5.067188322,0.46446324092950503,0.3987483677217415,0.3987483677217415,0,0
DDMGYMGEWRCEQD-UHFFFAOYSA-N,OCNT-2309589,4.379761063,0.6857562858539953,0.2700725651486365,0.2700725651486365,0,0
ZECSDSYFPHZCCH-UHFFFAOYSA-N,OCNT-2309595,4.681517073,0.7077758683657842,0.26167034998666444,0.26167034998666444,0,0
IFNGIJKNTWRPTP-UHFFFAOYSA-N,OCNT-2309602,4.276122025,0.526996095674151,0.35143326621892906,0.35143326621892906,0,0
FLNIOMXTQNQBJO-RNCFNFMXSA-N,OCNT-2309614,5.54515675,0.28395636190220525,0.6522268349499931,0.6522268349499931,0,0
NKOPTHMKGIKTFB-UHFFFAOYSA-N,OCNT-2309634,4.98585667,0.49382063523096514,0.37504297304378187,0.37504297304378187,0,0
QVQOHIBPHPVPPB-UHFFFAOYSA-N,OCNT-2309641,4.624523775,0.7495073273853867,0.24710093206621941,0.24710093206621941,0,0
BYZMEVYWUJTTRC-UHFFFAOYSA-N,OCNT-2309646,4.56322221,0.7773415576243824,0.23825300136196,0.23825300136196,0,0
LEPILDQORMQWAC-UHFFFAOYSA-N,OCNT-2309670,5.028736595,0.4775093297191629,0.38785411647624546,0.38785411647624546,0,0
MCMWQUUFOTYOLS-UHFFFAOYSA-N,OCNT-2309676,4.456160227,0.7588142973780474,0.24407020245576636,0.24407020245576636,0,0
YSSUBBRJQCDCQC-UHFFFAOYSA-N,OCNT-2309692,3.26384948,0.02393861431873155,7.736619869533185,5.0,0,0
DONMNQYGZGXTJP-UHFFFAOYSA-N,OCNT-2309697,4.890540237,0.541837582921763,0.3418071485346414,0.3418071485346414,0,0
CVLWFKRNRIYXAE-UHFFFAOYSA-N,OCNT-2309699,4.526403688,0.78176429632877,0.23690511328941893,0.23690511328941893,0,0
HVVUYBCZZBMJOT-OAHLLOKOSA-N,OCNT-2309702,4.638122052,0.7406137252116249,0.25006822434254705,0.25006822434254705,0,0
LWSCUHAHWXGQOH-UHFFFAOYSA-N,OCNT-2309728,4.978560573,0.4968574619750713,0.3727506847762353,0.3727506847762353,0,0
BPSIMDRRYLTHLE-UHFFFAOYSA-N,OCNT-2309730,4.851135392,0.5677955297151212,0.32618072791152847,0.32618072791152847,0,0
IWGOKMFJOUAZQS-UHFFFAOYSA-N,OCNT-2309752,5.17905231,0.42822610201593736,0.43249105627965045,0.43249105627965045,0,0
PZMBVFVMDYSNFQ-UHFFFAOYSA-N,OCNT-2309755,4.395583258,0.7046964602674175,0.2628138065531209,0.2628138065531209,0,0
NKHFHTCTOGEFMC-UHFFFAOYSA-N,OCNT-2309757,5.23549608,0.40834128435945904,0.45355188486001036,0.45355188486001036,0,0
FGDFAEAOTKYXNH-UHFFFAOYSA-N,OCNT-2309758,4.817660003,0.5926940989805409,0.3124781561111353,0.3124781561111353,0,0
YRTLYQAIURDYMT-UHFFFAOYSA-N,OCNT-2309787,5.005770848,0.4859477637388221,0.3811190687707948,0.3811190687707948,0,0
CLSZSOXETXFYPQ-UHFFFAOYSA-N,OCNT-2309804,4.77042854,0.631438669671884,0.2933047468943074,0.2933047468943074,0,0
UAPMKFKSRAQMIU-UHFFFAOYSA-N,OCNT-2309817,4.965197052,0.5026565345907351,0.3684503163540565,0.3684503163540565,0,0
FKWGYVQNEUUREI-UHFFFAOYSA-N,OCNT-2309819,5.471543947,0.31398686115930974,0.58984620726987,0.58984620726987,0,0
XLZQKDNFGFOCIC-UHFFFAOYSA-N,OCNT-2309836,4.636173695,0.7419365969318011,0.249622353113839,0.249622353113839,0,0
